guest_name,guest_key,show_context,query,search_result_summary,resolution_decision
James Crossley,crossley|james|james,Rev Left Radio,James Crossley professor religious studies historical Jesus,"Professor, Faculty of Divinity, University of Cambridge (UK) / MF Oslo -- UK-based academic.","unresolvable: UK national, not a plausible US political donor; none of 11 same-name donors distinguishable anyway -- dropped"
Ashley Webster,webster|ashley|ashley,The Fox News Rundown,Ashley Webster Fox Business anchor correspondent,"Senior correspondent/anchor, Fox Business Network.","unresolvable: none of 11 same-name donor records show broadcast/anchor/Fox occupation (teacher, marketing, server, HR, etc. -- clearly different people) -- dropped"
Gianno Caldwell,caldwell|gianno|gianno,Fox Across America w/ Jimmy Failla,Gianno Caldwell Fox News political commentator,"Political analyst, Fox News Channel.","RESOLVED: 2 donor records 'fox news political analyst/political news analyst, employer=fox news channel' (1.598, 1.297) -- averaged"
Raymond Arroyo,arroyo|raymond|raymond,Fox Across America w/ Jimmy Failla,Raymond Arroyo Fox News EWTN personality,EWTN News director/anchor; Fox News contributor (Ingraham Angle).,"unresolvable: none of 14 same-name donor records show media/EWTN/Fox occupation (diversity manager, librarian, sales, retired, etc.) -- dropped"
Brandon Tatum,tatum|brandon|brandon,Candace Owens,Brandon Tatum former police officer conservative commentator,"""The Officer Tatum""; TPUSA contributor; ex-Tucson police officer.","RESOLVED: donor records 'director of urban engagement/turning point usa' (1.581) and 'ceo/the officer tatum' (1.618, 1.659) -- averaged the 3 matching his known affiliations"
Gerard Casey,casey|gerard|gerard,The Tom Woods Show,Gerard Casey professor philosophy University College Dublin,"Professor emeritus of philosophy, University College Dublin (Ireland) -- non-US academic.","unresolvable: Irish national, not a plausible US political donor -- dropped"
Todd C. Frankel,frankel|todd|todd c,Slate News,Todd Frankel Washington Post reporter,"Pulitzer Prize-winning reporter, Washington Post financial desk.","unresolvable: neither of 2 same-name donor records (manager/x-ray co., photographer) matches journalist/WaPo -- dropped"
Charlie Sykes,sykes|charlie|charlie,Talking Feds,Charlie Sykes Bulwark conservative commentator,"Editor-in-chief emeritus, The Bulwark; ex-Milwaukee WTMJ radio host.","unresolvable: neither of 2 same-name donor records (MD/physician, realtor) matches media/radio/Bulwark -- dropped"
Jacob Weisberg,weisberg|jacob|jacob,Talking Feds,Jacob Weisberg political analyst Slate journalist,"Co-founder, Pushkin Industries (with Malcolm Gladwell); ex-Slate editor-in-chief.","RESOLVED: donor record 'executive/pushkin industries, inc' (cfscore -1.006) is an exact employer match"
Brad Day,day|brad|brad,KQED's Forum,Brad Day Weekendsherpa.com publisher California state parks,"Co-founder/publisher, Weekend Sherpa (CA outdoor-recreation e-magazine).","unresolvable: none of 10 same-name donor records show publisher/Weekend Sherpa occupation (bank exec, sales, boot-company CEO, etc.) -- dropped"
Sarah Mason,mason|sarah|sarah,Jacobin Radio,Sarah Mason Jacobin Radio,"PhD candidate in sociology; head steward, UAW Local 2865 (matches show context exactly).","confirmed unresolvable: grad student, not a plausible distinguishable donor among 82 same-name individuals nationwide -- dropped"
Kevin James,james|kevin|kevin,Brian Kilmeade Show,Kevin James radio host Brian Kilmeade KRLA conservative,LA conservative radio host (KRLA/KABC); 2013 LA mayoral candidate; ex-Assistant US Attorney.,"confirmed unresolvable: despite being a real (municipal) candidate, no recipient/candidate record found (DIME may not cover this race); can't isolate among 131 donors -- dropped"
Steve Hilton,hilton|steven|steve,The Benny Show,Steve Hilton California governor candidate Fox News host,Ex-Fox News host; running for CA Governor in 2026 (advanced past primary).,"confirmed unresolvable: DIME source data covers cycles through 2024 only, predates his 2026 gubernatorial run; not yet in recipients file -- dropped"
Eric Wolff,wolff|eric|eric,POLITICO Energy,Eric Wolff energy reporter Politico,"Energy policy reporter, POLITICO (now S&P Global).","confirmed unresolvable: journalist, can't isolate among 35 same-name donors without more identifying info -- dropped"
Michael Knowles,knowles|michael|michael,Candace Owens,Michael Knowles Daily Wire commentator,"Host, The Michael Knowles Show, The Daily Wire.","confirmed unresolvable: media commentator, can't isolate among 77 same-name donors -- dropped"
Andrea Mitchell,mitchell|andrea|andrea,Talking Feds,Andrea Mitchell NBC News chief foreign affairs correspondent,"Chief Washington/foreign affairs correspondent, NBC News/MSNBC.","confirmed unresolvable: career journalist, can't isolate among 68 same-name donors -- dropped"
Joseph Robertson,robertson|joseph|joseph,Bannon`s War Room,Joseph Robertson Lectures in History professor,Search did not return a clearly identifiable specific individual matching this podcast appearance.,confirmed unresolvable: identity itself not confidently established; can't isolate among 150 same-name donors -- dropped
Tom Homan,homan|thomas|tom,Fox Across America w/ Jimmy Failla,Tom Homan border czar ICE,"Trump administration 'border czar'; former acting ICE Director -- appointed official, not an elected candidate.","confirmed unresolvable: appointed official never on a ballot, no recipient record expected; can't isolate among 21 same-name donors -- dropped"
