topic,level,words,register
35,Liberal,texas state republican senate james republicans win running race seat democrats district primary governor john,FALSE
35,Conservative,senate republican texas state race primary georgia senator district seat republicans governor candidates john running,FALSE
36,MARGINAL,kids family life parents i've she's children went love school young child day kid tell,FALSE
36,Liberal,kids family she's life love i've school went day young parents feel mom tell home,FALSE
36,Conservative,kids family life children parents i've child went young kid school dad father love tell,FALSE
37,MARGINAL,venezuela drug maduro military drugs government mexico boat boats venezuelan cartels regime strikes fentanyl strike,FALSE
37,Liberal,venezuela military maduro government drug war boat venezuelan drugs regime boats strikes strike international let's,FALSE
37,Conservative,venezuela drug mexico maduro drugs cartels fentanyl mexican boats military boat venezuelan cartel regime killed,FALSE
38,MARGINAL,pope church catholic francis leo rome catholics vatican roman italian cardinal catholicism latin american world,FALSE
38,Liberal,pope catholic church francis leo rome italian roman catholics vatican american world cardinal yes italy,FALSE
38,Conservative,church catholic pope francis catholics leo vatican rome protestant bishops mass roman latin bishop orthodox,FALSE
39,MARGINAL,left money political i've maga campaign politics media person agree bad feel wing content guess,FALSE
39,Liberal,money left campaign media politics maga political corporate taylor i've dnc donors ad super marjorie,FALSE
39,Conservative,left feel person nick fucking agree i've political bad guess shit somebody blah maga believe,TRUE
40,MARGINAL,book read books university school history students write wrote writing college reading research life professor,FALSE
40,Liberal,university students school college book books research science professor harvard universities life education schools student,FALSE
40,Conservative,book read books history wrote write reading writing written great thought story called life author,FALSE
41,MARGINAL,california governor democratic newsom run running race gavin state candidate primary democrats candidates she's democrat,FALSE
41,Liberal,democratic california race governor primary newsom candidate candidates gavin running party democrat she's run democrats,FALSE
41,Conservative,governor california run state running newsom democratic gavin tom democrats jersey candidate she's race democrat,FALSE
42,MARGINAL,china chinese taiwan korea xi japan china's world north jinping united beijing military american administration,FALSE
42,Liberal,china chinese taiwan korea xi japan north china's administration policy jinping beijing military south united,FALSE
42,Conservative,china chinese korea taiwan xi japan world china's united american jinping countries states communist national,FALSE
43,MARGINAL,states united secretary rubio american america marco state security administration cuba foreign today national vice,FALSE
43,Liberal,states united america american rubio secretary cuba marco state security administration cuban today mexico government,FALSE
43,Conservative,states united secretary rubio state security american marco administration foreign vice vance national today america,FALSE
44,MARGINAL,vote election voting state states voter elections ballot ballots act votes voters rights republicans virginia,FALSE
44,Liberal,election voting vote state states elections voter rights republicans voters act ballots ballot redistricting votes,FALSE
44,Conservative,vote state election voting voter elections states ballot virginia ballots votes act id day voters,FALSE
45,MARGINAL,women men woman trans sex young gay gender children male women's female man transgender girls,FALSE
45,Liberal,women men trans woman gay young gender sex women's person children male rights marriage kids,FALSE
45,Conservative,women men woman sex young trans gender female children man male abortion girls transgender she's,FALSE
46,MARGINAL,harris kamala she's campaign vance donald debate vice tim election convention presidential biden candidate pennsylvania,FALSE
46,Liberal,harris kamala she's campaign vance vice debate tim election donald pennsylvania presidential candidate convention running,FALSE
46,Conservative,harris kamala she's donald campaign vance debate vice biden tim convention fact thought obama presidential,FALSE
47,MARGINAL,cia conspiracy believe deep world state theories intelligence government remember control use america vegas went,FALSE
47,Liberal,conspiracy cia theories intelligence vegas use theory street world lighting facetune government skin john experience,FALSE
47,Conservative,believe cia deep state world control remember america global players fake obama operation entire war,FALSE
48,MARGINAL,story carolina south case evidence john death week found trial jen we've paul happened state,FALSE
48,Liberal,story evidence john found emily guilty case trial phone happened called week went prison told,FALSE
48,Conservative,carolina south death story we've case jen week state dylan county paul andy john trial,FALSE
49,MARGINAL,media news times social post york story information journalists press public fact read reporting i've,FALSE
49,Liberal,media news times social information york post journalists story public reporting press read trust i've,FALSE
49,Conservative,media news times post story york social information washington fact piece press mainstream journalists podcast,FALSE
50,MARGINAL,health care medical covid vaccine insurance cancer doctor dr rfk vaccines doctors public kennedy food,FALSE
50,Liberal,health care medical rfk insurance covid doctor cancer vaccines public jr kennedy dr vaccine doctors,FALSE
50,Conservative,health medical covid care vaccine cancer doctor insurance dr vaccines doctors hospital food kennedy public,FALSE
51,MARGINAL,game sports team baseball games football play year great playing night players player fan world,FALSE
51,Liberal,game sports team games york football radio baseball year great night went th world play,FALSE
51,Conservative,game sports team play baseball football games year playing fan player win great players played,FALSE
52,MARGINAL,jobs workers work labor working american job class americans union america immigration wage economy worker,FALSE
52,Liberal,workers jobs labor working work union class job wage american economy unions worker farmers minimum,FALSE
52,Conservative,jobs work american workers job labor americans working immigration america class immigrants manufacturing care bring,FALSE
53,MARGINAL,immigration border illegal ice immigrants administration el law deportation salvador illegally criminals citizens criminal detention,FALSE
53,Liberal,immigration immigrants border administration ice el salvador detention deportation prison process illegal undocumented miller citizens,FALSE
53,Conservative,border illegal immigration ice administration immigrants law illegally aliens enforcement criminals criminal gang citizens legal,FALSE
54,MARGINAL,housing home building live rent build afford affordable community homes city living able house cost,FALSE
54,Liberal,housing building city community rent live affordable build home afford able homes neighborhood plan living,FALSE
54,Conservative,housing home live cost afford build property building house rent homes living expensive affordable costs,FALSE
55,MARGINAL,gaza israel west palestinian palestinians israeli hamas genocide muslim killed bank palestine land children state,FALSE
55,Liberal,gaza israel israeli palestinians palestinian west hamas bank killed genocide children course israelis land october,FALSE
55,Conservative,muslim west gaza genocide muslims israel palestine islamic palestinian palestinians killed kill land islam state,FALSE
56,MARGINAL,ice police agents enforcement shooting video law shot officers minnesota minneapolis gun tonight happened killed,FALSE
56,Liberal,ice police tonight agents video minnesota today officers minneapolis shooting enforcement shot news killed happened,FALSE
56,Conservative,police ice gun law enforcement shooting shot agents video officers minneapolis violence minnesota car officer,FALSE
57,MARGINAL,data centers center service stars power demand grid customer utility customers level solar consumer massive,FALSE
57,Liberal,data centers power grid demand solar energy utility electricity utilities cost customers system customer level,FALSE
57,Conservative,data centers center stars service survey massive category fees company reports network contract customer consumer,FALSE
58,MARGINAL,war world american wars policy foreign military iraq ii strategy power conflict middle end america,FALSE
58,Liberal,war world american wars policy foreign strategy military power security administration states europe iraq united,FALSE
58,Conservative,war world wars american policy military foreign iraq ii afghanistan conflict america end middle fight,FALSE
59,MARGINAL,space air plane flight flying fly airport traffic moon earth planes jet launch crash rocket,FALSE
59,Liberal,space air plane flying flight fly traffic earth airport planes moon launch able rocket crash,FALSE
59,Conservative,space air plane airport flight moon fly traffic earth planes flying jet mars travel mission,FALSE
60,MARGINAL,federal law administration government national department state executive guard enforcement trump's act house white congress,FALSE
60,Liberal,law federal national administration state government enforcement department guard act use legal civil order chicago,FALSE
60,Conservative,federal administration department government executive national trump's npr white house week congress terms says office,FALSE
61,MARGINAL,january th donald capitol law pardon election day trump's justice fund impeachment pardons pardoned mike,FALSE
61,Liberal,january th donald pardon capitol law fund election justice trump's day pardons convicted pardoned impeachment,FALSE
61,Conservative,january th donald law capitol day mike election impeachment pardon happened trump's justice insurrection committee,FALSE
62,MARGINAL,world greenland nato peace canada europe america prize cup countries european nobel leaders donald denmark,FALSE
62,Liberal,world canada greenland peace nato prize cup canadian america countries nobel allies leaders minister donald,FALSE
62,Conservative,world greenland europe nato peace america european cup prize countries panama denmark donald nobel leaders,FALSE
63,MARGINAL,money financial million dollars pay company market business billion buy bank dollar gold system crypto,FALSE
63,Liberal,money dollars million financial billion pay company crypto business market buy dollar bank companies markets,FALSE
63,Conservative,money gold system bank market buy financial business stock dollar company million pay dollars bitcoin,FALSE
64,MARGINAL,military pete hegseth defense army service force secretary pentagon combat general veterans training soldiers navy,FALSE
64,Liberal,military hegseth defense army pete service force war secretary pentagon general combat soldiers command veterans,FALSE
64,Conservative,military pete hegseth defense service army force pentagon secretary combat training veterans job general went,FALSE
65,MARGINAL,tax money dollars billion budget government state pay taxes million cuts spending funding cut fraud,FALSE
65,Liberal,tax money budget cuts funding billion state dollars medicaid cut government taxes spending pay programs,FALSE
65,Conservative,money tax dollars billion government pay state taxes million fraud federal budget spending cut program,FALSE
66,MARGINAL,book feel life i've world different person thought experience work read thinking bit sense brain,FALSE
66,Liberal,book feel read life i've thought world different person thinking experience work sense great write,FALSE
66,Conservative,feel life i've world different brain person experience universe work bit real able feeling you've,FALSE
67,MARGINAL,bush obama reagan george union soviet nixon history clinton wasn't cold american carter presidents ronald,FALSE
67,Liberal,obama bush george reagan soviet clinton history nixon union barack american cold great world presidents,FALSE
67,Conservative,bush reagan union george soviet wasn't carter nixon cold ronald american terms cheney presidents thought,FALSE
68,MARGINAL,israel gaza aid international netanyahu un state foreign support genocide administration israeli peace policy government,FALSE
68,Liberal,israel netanyahu gaza genocide israeli international support aid state policy israel's government foreign palestinian benjamin,FALSE
68,Conservative,aid international un gaza foreign nations organization state administration peace support humanitarian israel security hamas,FALSE
69,MARGINAL,power system america political world party communist understand democracy believe society american left politics revolution,FALSE
69,Liberal,power system political democracy world society politics sense american ways understand different idea institutions problem,FALSE
69,Conservative,power america communist party socialist believe left revolution understand world communism socialism propaganda communists radical,FALSE
70,MARGINAL,republicans democrats bill house senate congress republican vote care senator shutdown government johnson pass act,FALSE
70,Liberal,republicans democrats bill congress house senate vote republican care government senator shutdown johnson fight pass,FALSE
70,Conservative,bill democrats house senate republicans congress republican vote senator shutdown johnson week government committee pass,FALSE
71,MARGINAL,maine graham mr susan allegations plattner quote sexual eric collins morning platner democrats democrat news,FALSE
71,Liberal,maine eric sexual allegations graham susan plattner assault collins platner story swalwell woman women rape,FALSE
71,Conservative,mr morning quote maine democrats democrat news bernie graham sanders party plattner susan collins nazi,FALSE
72,MARGINAL,fbi director intelligence information patel security national kash investigation administration department job tulsi gabbard secret,FALSE
72,Liberal,fbi director patel department security administration intelligence national kash investigation information job fired trump's classified,FALSE
72,Conservative,fbi intelligence director information security patel secret national kash investigation service tulsi gabbard government agents,FALSE
73,MARGINAL,san county taylor francisco lee thank lake news georgia park marjorie town greene area different,FALSE
73,Liberal,san thank park lee francisco island writes bay area thanks listener forum wnyc oakland listeners,FALSE
73,Conservative,county taylor san georgia news marjorie greene francisco lake victor town party different atlanta coverage,FALSE
74,MARGINAL,charlie kirk tucker news violence speech political media fox carlson cbs candace left jimmy assassination,FALSE
74,Liberal,news speech charlie kirk violence fox tucker cbs media free political carlson cnn kimmel maga,FALSE
74,Conservative,charlie kirk tucker violence candace left carlson political assassination jimmy turning erica news owens kimmel,FALSE
75,MARGINAL,graham lindsey senator south donald friend america believe mccain carolina john life came better friends,FALSE
75,Liberal,graham lindsey senator south carolina donald friend america death friends life republican john man lindsay,FALSE
75,Conservative,graham lindsey senator brett came believe friend donald america scott better tremendous mccain john attack,FALSE
