var,label,n,b_hi_vs_none,p_hi,b_lo_vs_none,p_lo,hi_minus_lo,p_diff,q_hi,q_lo,q_diff
Q11,How often do you see people in your community showing ,12240,-0.01194965548915184,0.8893629233165878,-0.09337694094939077,0.3349722041839134,0.08142728546023892,0.5235898441121862,0.95834097730508,0.4362428705650965,0.9021855775471516
Q12A,Your physical or mental health,12348,0.08454293883155525,0.06375814489216713,0.08528511045319614,0.4773761058065136,-0.0007421716216408913,0.9953470277291312,0.1400178868220141,0.5875398225310936,0.9953470277291312
Q12B,Your work or family obligations,12355,0.038052539523603976,0.599249979716912,-0.1440040485589141,0.2807900490438979,0.18205658808251807,0.227091483541771,0.7746773795057968,0.37889741557730805,0.6791751680303978
Q12C,You fear judgment or retaliation from others,12350,-0.015319134873160318,0.7796522160739374,0.009840800258521881,0.9388069528945129,-0.0251599351316822,0.8553687223148749,0.9095942520862603,0.9558761702198677,0.9673412501647322
Q12D,You are unsure how to get involved,12353,0.007423744096346156,0.9109832173258529,-0.044443568154324625,0.8186367292305297,0.05186731225067078,0.7994510025743218,0.95834097730508,0.8557450414337663,0.964608024067737
Q12E,You don't believe it will make a difference,12339,0.09047268282227634,0.16475707501062598,0.03552331962879225,0.7730949788303036,0.05494936319348409,0.6909001096950043,0.30522348858138276,0.8353895403931153,0.9327156866335095
Q12F,Not knowing enough about the issues,12338,0.1942097167958899,0.0004713565221931027,0.20155808895780752,0.014287406376220257,-0.007348372161917638,0.940086643384,0.0017597310161875834,0.03902901253991875,0.9734360521110671
Q12G,You have not been invited or encouraged to participate,12342,0.013190574966518882,0.904969467318531,-0.09043918495354779,0.5829569875511486,0.10362975992006668,0.5987718244148623,0.95834097730508,0.6945870489971132,0.9327156866335095
Q12H,Feeling unwelcome or out of place when participating,12338,0.012099915865915722,0.8747054262533872,0.03074251918694788,0.6466524812532295,-0.01864260332103216,0.8529979308347573,0.95834097730508,0.7428357694970595,0.9673412501647322
Q12I,You have no desire to get involved,12341,-0.0009046512123055822,0.9901886018048939,0.19576529947815768,0.1747329825225592,-0.19666995069046328,0.22028608017800666,0.9983790504448992,0.2575012374016662,0.6791751680303978
Q13,"In the past 12 months, have you volunteered or activel",12376,0.11002981273409769,0.34937877370751425,0.12478149002595224,0.35803141552630147,-0.014751677291854545,0.9343175386699474,0.5148739823058105,0.4556763470334746,0.9734360521110671
Q14A,An American,12388,-0.2159279787779244,0.1583155604830122,-0.8556899162996766,0.00019802573690423262,0.6397619375217523,0.02051721120037331,0.30522348858138276,0.001121382761221576,0.22527190428645516
Q14B,A member of your local community,12379,-0.1317834330300072,0.011634630932334685,-0.16925904296457056,0.08451185629193368,0.037475609934563364,0.7328480394977575,0.03257696661053712,0.14341405916206929,0.9327156866335095
Q15A,Not being able to afford basic necessities like food o,12385,0.00022066364201186323,0.9983790504448992,0.1709425397636188,0.10723144871750621,-0.17072187612160694,0.2591000972894464,0.9983790504448992,0.16680447578278743,0.7203540303378333
Q15B,Not having access to necessary healthcare,12378,-0.16268428045433714,0.033460883086976874,-0.22217267510569272,0.07211170495746715,0.05948839465135558,0.6806032914426083,0.07973657246258319,0.13459177677208117,0.9327156866335095
Q15C,"Feeling targeted or excluded due to race, gender, disa",12376,-0.016458746390887777,0.8449038246154092,0.03185265914193787,0.7047887605877405,-0.048311405532825646,0.681148392842319,0.95834097730508,0.7893634118582694,0.9327156866335095
Q16,How concerned are you about being affected by crime or,12383,-0.1623694324392418,0.001800589707781723,-0.8817250663982967,1.9339318974062837e-11,0.719355633959055,2.815055226701446e-07,0.005931354331516265,4.3320074501900755e-10,1.57643092695281e-05
Q18A,Religious or faith leaders,12365,0.24568812923751668,6.499172487799555e-06,0.4383968371526379,4.1459161569093786e-08,-0.1927087079151212,0.04419795468906629,3.831091150702896e-05,4.643426095738504e-07,0.309385682823464
Q18B,Business leaders,12353,0.32037762730552544,2.144200022081313e-08,0.4879810572365658,1.4885455303744913e-06,-0.16760342993104038,0.14404580562296765,1.8473107882546697e-07,1.5156099945631185e-05,0.5620703596390764
Q18C,Elected officials,12357,0.19509731010429243,0.002282300045464553,0.3949090465225965,0.0015696508961237728,-0.19981173641830408,0.15055456061760975,0.007100489030334164,0.006511144457994909,0.5620703596390764
Q18D,Education officials,12350,0.3208960539913846,5.618973844720035e-05,0.2631293682596528,0.006515235350618017,0.057766685731731826,0.6416255366798387,0.00024204810408024765,0.020848753121977655,0.9327156866335095
Q18E,"Family, friends, and/or neighbors",12369,0.31027897067413013,3.025661942308856e-08,0.4108166990946809,0.008131902769481199,-0.10053772842055075,0.5396456603244695,2.420529553847085e-07,0.02461548946437552,0.9129771724966159
Q20A,X (formerly Twitter),12353,0.09827996735827024,0.16157196226409065,0.2320453981329925,0.04041567253777884,-0.13376543077472225,0.31233364486958237,0.30522348858138276,0.08704914085060057,0.7203540303378333
Q20B,Facebook,12369,0.011349539566282128,0.8925696662932526,0.5838242630606858,0.07376486096019916,-0.5724747234944036,0.0891176797839015,0.95834097730508,0.13459177677208117,0.49905900678984844
Q20C,Truth Social,12342,0.04369498943642899,0.44891656846389505,0.06586196259594429,0.23158230969198035,-0.022166973159515303,0.778589511139111,0.6207241440488426,0.32021257636421974,0.9582640137096751
Q20D,Instagram,12359,0.04297177398831933,0.6230957311252661,0.26659967540410373,0.1867292074214637,-0.2236279014157844,0.3080875846568847,0.7798294450543428,0.2661671441162703,0.7203540303378333
Q20E,Parler,12335,0.1998608118381025,0.15750905844368523,0.10540318174100619,0.3578614609513642,0.09445763009709632,0.6024913761406447,0.30522348858138276,0.4556763470334746,0.9327156866335095
Q20F,TikTok,12354,0.16511971890904287,0.2320862271385632,0.3862816536143865,1.401863454890208e-08,-0.22116193470534362,0.14753549248877262,0.3879650364107325,1.9626088368462914e-07,0.5620703596390764
Q20G,Rumble,12340,-0.4658800079559654,0.11661397800170878,-0.013493606812655878,0.8856596397813284,-0.4523864011433095,0.14560046240962388,0.2374684642943888,0.9100355931698054,0.5620703596390764
Q20H,Gab,12339,0.06391163439996804,0.18655443925403326,-0.03956346499334343,0.17402158073154805,0.10347509939331147,0.0655432118446897,0.3264702686945582,0.2575012374016662,0.407824429255847
Q20I,Discord,12339,0.04766398550542109,0.4646839506799776,-0.3158348054568985,0.0468664823561806,0.36349879096231963,0.03329991082324968,0.6346902740994816,0.09903860422438165,0.27288056407613226
Q20J,Twitch,12340,0.0896297172394487,0.24720665891153748,-0.27619716244856224,0.1877428962962978,0.3658268796880109,0.1005425555645012,0.40324070270502405,0.2661671441162703,0.5118530101465516
Q20K,YouTube,12382,-0.49199212191647435,1.4975255546191531e-13,-0.14274339984651627,0.2577573145079971,-0.34924872206995805,0.013481560934127002,2.0965357764668144e-12,0.35205877103531313,0.22527190428645516
Q20L,Snapchat,12343,0.3086076534493079,1.2810013731957141e-05,0.3480301770240054,2.7852919379340663e-08,-0.0394225235746975,0.6707727580261331,6.52146153626909e-05,3.466141078317949e-07,0.9327156866335095
Q20M,Reddit,12353,-0.09914446729527834,0.3112262365189238,-0.46587629092075905,0.01990885602522589,0.36673182362548074,0.09802529436097318,0.47749778753588307,0.04847373640924565,0.5118530101465516
Q20N,Bluesky,12354,-0.3075582076587286,0.25202543919064,-0.36957332541159826,0.0884242671165218,0.062015117752869664,0.8570094772710417,0.40324070270502405,0.14563996936838888,0.9673412501647322
Q21,"On average, how much time PER DAY do you spend activel",12384,0.13352930553114634,0.05254182501372148,-0.06781211421930369,0.2955545650310202,0.20134141975045003,0.029568255230488782,0.11769368803073611,0.39407275337469355,0.27288056407613226
Q22,The experiences and beliefs of people like me are valu,12332,-0.231893983379879,1.0340926639677644e-05,-0.4134235422001563,0.018631857465865875,0.18152955882027733,0.3198324557292056,5.763085561952316e-05,0.046372623026155066,0.7203540303378333
Q23,How much power do ordinary citizens have to create cha,12316,0.024955109415870334,0.7224161942032052,0.043036870737543025,0.785977888197209,-0.01808176132167269,0.9163104428399678,0.8516906710606209,0.8353895403931153,0.9734360521110671
Q24A,Voting,12378,0.003805480053211456,0.9747717252356737,-0.18438664159294527,0.004052448830281379,0.18819212164615673,0.1662252386674541,0.992494847512686,0.01565083686177636,0.5825277684801525
Q24D,Campaigning for political candidates or issues,12370,0.15773247470815563,0.08617292710287376,0.14549898365217978,0.4738331425650538,0.012233491055975848,0.9560532654662266,0.18210127991550681,0.5875398225310936,0.9734360521110671
Q24E,Donating money to candidates or causes,12372,0.06906168877856192,0.6336114241066535,0.04357498388321468,0.6357517321534267,0.02548670489534724,0.8809714956857382,0.7798294450543428,0.7417103541789979,0.9673412501647322
Q24F,Attending town hall meetings,12371,0.17830351111069243,0.01764129194390832,0.1997823772195682,0.05935397993300852,-0.021478866108875783,0.8669942447571801,0.04704344518375552,0.11706265906508334,0.9673412501647322
Q25,To what extent did you receive formal education about ,12338,-0.12298121505961288,0.1716882123270278,-0.18510817342733749,0.1405271450993173,0.06212695836772461,0.6856073353946737,0.30522348858138276,0.21268973312329104,0.9327156866335095
Q26,"Growing up, how much did your parents, relatives, or o",12302,-0.07754265672705919,0.2559438711322879,-0.058404785815971416,0.5591476773891393,-0.019137870911087776,0.8726586278008313,0.4037424446030457,0.6733821491138021,0.9673412501647322
Q27,"If you had to choose, which one of the following words",12250,-0.06594421705445289,0.6087298990710095,-0.19502150826648817,0.08187340463583768,0.1290772912120353,0.44796564787741255,0.7747471442721939,0.14269303557557275,0.8224943042995116
Q29,Whether or not you agree with current political leader,12291,-0.26753152751740145,0.018979862066460525,-0.37263585643186303,0.007556681711166115,0.10510432891446159,0.5579634722133093,0.04943591980101346,0.023509676434739023,0.9189986601160389
Q30A,Democracy is the best form of government.,12377,-0.2462314618387047,0.08276056866059273,-0.18299100071783814,0.09540057540501104,-0.06324046112086656,0.722294830475799,0.17825353249973816,0.15264092064801765,0.9327156866335095
Q30B,Most people in the U.S. are committed to having a stro,12373,-0.24818918703027504,1.2165805132406282e-06,-0.7828867137252615,1.9584166732056587e-18,0.5346975266949865,1.1163472568576083e-07,7.5698343046083525e-06,1.0967133369951689e-16,1.2503089276805213e-05
Q30C,U.S. political leaders are committed to having a stron,12382,-0.5215373291404377,8.230160705666137e-19,-0.678905816210077,7.717867744825648e-05,0.15736848706963924,0.383943424147726,2.3044449975865186e-17,0.0005402507421377954,0.7815372869795504
Q31,I trust that U.S. political leaders will be held accou,12330,-0.38667574779415087,5.965840268281057e-17,-0.4971134766831229,0.08185843735695641,0.11043772888897202,0.7023525086551063,1.3363482200949568e-15,0.14269303557557275,0.9327156866335095
Q32A,"Every citizen should have the right to vote, even if t",12383,0.040094689045650236,0.6982075377510402,0.35009752684455253,0.05957653184562277,-0.3100028377989023,0.14306685470064462,0.8400761549139636,0.11706265906508334,0.5620703596390764
Q32B,People who have beliefs that are extreme or radical sh,12382,-0.26047606136224477,2.3818897562548887e-05,-0.7553938124913594,0.03668474210588762,0.4949177511291146,0.17639144012679875,0.000106708661080219,0.0835473850214521,0.5825277684801525
Q32C,It is reasonable to assume that people who oversee ele,12360,-0.05279239452331873,0.24938254746827837,-0.5918886933165037,1.7472236806931062e-06,0.539096298793185,3.6303802158244025e-05,0.40324070270502405,1.6307421019802326e-05,0.0013553419472411103
Q32D,The news media should take more direction from the gov,12370,-0.5599889634788404,1.669236045459545e-19,-0.7321359623806526,8.869934584940817e-31,0.17214699890181218,0.047954288880101004,6.231814569715635e-18,9.934326735133716e-29,0.3159341385041949
Q32E,Laws should be created based on what is best for the m,12374,-0.24828645211948863,0.0009665918201942043,-0.5713159338511444,2.313507663290628e-06,0.3230294817316558,0.02212491917099113,0.003463491462681709,1.9931758329888487e-05,0.22527190428645516
Q32F,"Citizens, including those who hold radical views, shou",12376,0.3264729167710756,5.325193191583441e-08,0.4228142598806328,1.208396939927102e-09,-0.09634134310955722,0.28733449974049563,3.976144249715636e-07,2.2556742878639236e-08,0.7203540303378333
Q32G,More power should be given to presidents and the execu,12373,-0.34815296888590713,4.5403584456321144e-07,-0.4544254868906541,0.0010085583938757798,0.10627251800474696,0.48875005739649513,2.991294975945864e-06,0.004518341604563493,0.8688889909271025
Q32H,The economic differences between the rich and poor in ,12375,0.14203455006465132,0.4241657419506023,0.3060386069407104,0.0009845076454956109,-0.16400405687605907,0.41179374456400764,0.5938320387308432,0.004518341604563493,0.7817101591723534
Q32I,Society should aim to reduce the economic differences ,12365,0.024682996791295576,0.9001004251470809,0.25202293550098787,0.18562398094048005,-0.2273399387096923,0.4047246664715529,0.95834097730508,0.2661671441162703,0.7815372869795504
Q32J,Americans expect much more from government than it can,12377,-0.18706980718099275,0.16824402482838774,-0.38022135077743424,0.005932549400267499,0.1931515435964415,0.3154448249979205,0.30522348858138276,0.01954251567146941,0.7203540303378333
Q33A,The Supreme Court and judicial branch,12372,-0.4604370801651063,0.001310711796438661,-0.4070870723825994,0.07338474120535783,-0.053350007782506925,0.8421382232605159,0.0044484764000342425,0.13459177677208117,0.9673412501647322
Q33B,Congress and the legislative branch,12364,-0.5035615123055346,3.845738226152016e-26,-0.4998071595362764,0.00020024692164671002,-0.0037543527692581735,0.9787854060696051,2.153613406645129e-24,0.001121382761221576,0.9876032926107726
Q33C,The presidency and executive branch,12360,-0.27268849603684203,0.035433974778708896,-0.5328511966713904,2.2260348880627534e-16,0.2601627006345483,0.0702453674200707,0.0826792744836541,8.310530248767614e-15,0.4140779553183115
Q33D,The people’s role in the democratic process,12366,-0.3034215239256068,0.00037657582530514945,-0.37130949117305806,0.005724926821315015,0.06788796724745128,0.6674105066454317,0.0015063033012205978,0.01954251567146941,0.9327156866335095
Q33E,How elections are administered,12370,-0.37881160167991185,0.0027534454609929987,-0.0009323944886065472,0.9943863492065509,-0.3778792071913053,0.038161561782755316,0.00811541820082147,0.9943863492065509,0.2849396613112397
Q33F,The criminal justice system,12369,-0.3750674786825436,2.5818432356347033e-15,-0.39666214736808436,0.04971505722106123,0.021594668685540774,0.9168032505792105,4.819440706518113e-14,0.10311271127331219,0.9734360521110671
Q33G,That all people are treated equally under the law,12376,-0.4275185886233501,5.1312694070480855e-09,-0.41633423182525664,0.017100397247696665,-0.011184356798093487,0.9526349903686269,5.22456521444896e-08,0.04445980009525587,0.9734360521110671
Q33H,Freedom of the press,12369,-0.3181985613877019,6.740726658373782e-05,-0.4776851342370239,0.000837155894545562,0.159486572849322,0.3262453628819961,0.0002796153280510606,0.004076585225613172,0.7203540303378333
Q33I,"Division of power between the federal judicial, legisl",12377,-0.44679632578085593,1.0805785428660593e-05,-0.6368195728533752,4.3626804835702985e-05,0.19002324707251927,0.3033036281713555,5.763085561952316e-05,0.0003257468094399156,0.7203540303378333
Q33J,"Division of power between federal, state, and local go",12366,-0.3274001493539886,0.0004231257214240803,-0.4902381539207404,0.003536311589581894,0.1628380045667518,0.3933291012575597,0.0016341407172240341,0.014145246358327576,0.7815372869795504
Q34A,Local voting procedures and laws make it easy for peop,12386,-0.1270895417296696,0.32814918279845606,-0.05581413773575583,0.5375935480560713,-0.07127540399391377,0.6503543720002902,0.4966582226138795,0.6544617106769564,0.9327156866335095
Q34B,"If I had a concern, I know how to share it with my ele",12382,0.013761184218533971,0.8838382035897896,0.17625603807343754,0.0745061621416878,-0.16249485385490356,0.23043443201031355,0.95834097730508,0.13459177677208117,0.6791751680303978
Q34C,People like me can effectively share their opinions an,12381,-0.07447689602057973,0.35999204211270086,-0.16805561729226165,0.033446918716605906,0.09357872127168192,0.40377388673232595,0.5182948256419999,0.07804281033874712,0.7815372869795504
Q34D,I would feel comfortable openly expressing my opinions,12381,-0.0450256683268903,0.486456094891477,-0.29553936252206137,0.09087176391596714,0.25051369419517105,0.17683878686004628,0.6564226822631979,0.14750199360272928,0.5825277684801525
Q35A,Government decisions generally reflect what the majori,12375,-0.5100597034795722,2.3048795877582232e-14,-0.5593138952573309,0.005764932280177888,0.049254191777758694,0.816574503738067,3.687807340413157e-13,0.01954251567146941,0.964608024067737
Q35B,Government is sensitive to the interests of people lik,12364,-0.45437529608550636,2.6532483880965198e-11,-0.5943771205741157,6.564933502930666e-06,0.14000182448860937,0.3410055339848115,3.301820216297891e-10,5.2519468023445326e-05,0.7206154680433753
Q35C,Government includes many people who have similar backg,12369,-0.4527747435658316,6.243855496663297e-29,-0.5063436452805837,0.00041229775445028854,0.05356890171475215,0.7170678637728036,6.993118156262893e-27,0.002098970386292378,0.9327156866335095
Q35D,Government decisions usually attempt to serve the best,12371,-0.5413321022263726,7.486571639936254e-10,-0.5123038783176622,1.1320393566375764e-08,-0.029028223908710404,0.814742504359748,8.384960236728603e-09,1.8112629706201223e-07,0.964608024067737
Q35E,Our government’s laws and policies are careful to upho,12373,-0.42953758707982925,1.4683883656150986e-05,-0.5141202687625783,0.00025506468461543015,0.08458268168274907,0.61929209391019,7.15041291082135e-05,0.0013603449846156274,0.9327156866335095
Q36A,government responsibility attitudes,12266,-0.02216463423419816,0.8865573191875813,-0.23392264368239418,0.08281292243225205,0.21175800944819603,0.3026718050174393,0.95834097730508,0.14269303557557275,0.7203540303378333
Q36B,political opinions attitudes,12254,-0.13204258549721448,0.000989568989337631,-0.24091238622931435,0.011846422713557838,0.10886980073209987,0.2870478712718616,0.003463491462681709,0.03402049599790969,0.7203540303378333
Q36C,political compromise attitudes,12207,0.03792820957411498,0.7050639157313623,0.13223634530989914,0.6678435901962667,-0.09430813573578416,0.771186676647893,0.8400761549139636,0.7555402232523422,0.9582640137096751
Q36D,political participation attitudes,12174,0.06695053497999214,0.5273316654064396,0.3316483437616399,0.012708847867308031,-0.2646978087816477,0.1166648084314923,0.7031088872085861,0.03558477402846249,0.5620703596390764
Q36E,bridging differences attitudes,12270,0.11148616951331397,0.3492828195517059,0.05439527513265362,0.6064816219389499,0.057090894380660354,0.7168204599642689,0.5148739823058105,0.7150099121806568,0.9327156866335095
Q36F,cultural change attitudes,12228,0.048068853056311506,0.6017583215803958,0.43722567050743477,0.001548933334309649,-0.3891568174511233,0.018283283638751202,0.7746773795057968,0.006511144457994909,0.22527190428645516
Q36G,national diversity attitudes,12216,0.03778785641403909,0.8000538040335975,-0.21274390870064874,0.004941274989127974,0.25053176511468783,0.13116734838333088,0.923773464451164,0.017982953671634293,0.5620703596390764
Q36H,leadership style attitudes,12264,0.045502500767625645,0.6292764365115844,0.06020924811023326,0.7611310927268422,-0.014706747342607615,0.9463720384175656,0.7798294450543428,0.8353895403931153,0.9734360521110671
Q36I,influence of wealth individuals and business attitudes,12229,0.12583651491025405,0.0024575538622250963,0.0529072454520067,0.7861534123193372,0.07292926945824735,0.7133243283508375,0.007439081961330022,0.8353895403931153,0.9327156866335095
Q36J,facts and opinions attitudes,12252,-0.2761580035613248,2.202421037150388e-05,-0.14686483482894985,0.21417858625621966,-0.12929316873237495,0.33503000706250585,0.00010277964840035144,0.29985002075870754,0.7206154680433753
Q36K,political violence attitudes,12265,-0.06340716337244126,0.40314226781073037,0.8656208522523574,8.830504947808141e-05,-0.9290280156247986,6.429710534638922e-05,0.5715434682886303,0.0005817744436203012,0.001800318949698898
Q37,"Do you think young people today are more likely, less ",12390,-0.04564011234577876,0.2127818152804294,0.10819125155061092,0.43459274308348694,-0.15383136389638968,0.2790226987862321,0.3610842925970923,0.5469032272511297,0.7203540303378333
Q38,Thinking about the perspectives you hear and read abou,12255,0.15405772539889417,0.04939555776318758,0.04395382118882046,0.790636529300627,0.11010390421007371,0.5461559871185113,0.11290413203014305,0.8353895403931153,0.9129771724966159
Q40,Have you ever served in the U.S. armed forces?,12340,0.18467733719543117,0.001953242846359005,0.26582226940434434,0.01686206087678825,-0.08114493220891317,0.5178230573524334,0.006250377108348816,0.04445980009525587,0.9021855775471516
Q44,"How often do you usually attend church, synagogue, mos",12374,0.31037488777171857,5.920420288373144e-08,0.25222472123454165,0.11224724642792988,0.05815016653717692,0.7289747443024064,4.144294201861201e-07,0.17221495342367324,0.9327156866335095
Q46,Would you describe yourself as a born-again or Evangel,12381,0.060760071679088604,0.29981198596788206,0.21529208941020056,0.027751785222650455,-0.15453201773111197,0.17051040461690636,0.4663742003944832,0.06613191372206066,0.5825277684801525
Q47,Are you currently registered to vote?,12347,-0.002519183121415155,0.9443979922946159,-0.1698823182891617,0.004977424676970206,0.16736313516774654,0.015702562107361873,0.9703905975871282,0.017982953671634293,0.22527190428645516
