var,label,n,b,p,q
Q21,"On average, how much time PER DAY do you spend actively usin",1256,-1.3010426069826053e-17,0.9980834452928163,0.9980834452928163
Q22,The experiences and beliefs of people like me are valued and,1254,-0.08563970259456022,0.0033532831156752804,0.013909915146504867
Q23,How much power do ordinary citizens have to create change in,1250,-0.008387766398601611,0.7752798144012117,0.8857357923971323
Q24A,Voting,1256,-0.05519496140880802,0.1444376785223908,0.26519704909029135
Q24B,"Contacting elected officials by letter, email, or phone",1254,-0.0013412326057334716,0.9702785875995761,0.9969835028546103
Q24C,Non-violent protests and demonstrations,1254,-0.0701000491151331,0.004245466994619804,0.016845667623748815
Q24D,Campaigning for political candidates or issues,1253,-0.021855811640158283,0.4389278474515518,0.5716269641229511
Q24E,Donating money to candidates or causes,1251,-0.0258630351545298,0.4001803923512326,0.5272965169804477
Q24F,Attending town hall meetings,1253,-0.010950356318394885,0.6672509565815216,0.7929068821826539
Q25,To what extent did you receive formal education about govern,1250,-0.023035891229007344,0.30811168565627356,0.45208706622152744
Q26,"Growing up, how much did your parents, relatives, or other a",1252,0.0018584976164812087,0.9511184948217963,0.9895231339881964
Q27,"If you had to choose, which one of the following words or ph",1241,0.07388472135618585,0.004361824652577818,0.016845667623748815
Q29,"Whether or not you agree with current political leadership, ",1247,-0.04143081718108277,0.12886819115213108,0.24055395681731134
Q30A,Democracy is the best form of government.,1255,-0.07758816941165161,0.005871202826396874,0.02121208763085322
Q30B,Most people in the U.S. are committed to having a strong dem,1253,-0.08160288297699059,0.012686797364802396,0.04179180308405495
Q30C,U.S. political leaders are committed to having a strong demo,1254,-0.11560757915460695,0.002088698900207488,0.011139727467773268
Q31,I trust that U.S. political leaders will be held accountable,1254,-0.08681241263227815,0.007013696599486296,0.02454793809820204
Q32A,"Every citizen should have the right to vote, even if they ar",1255,0.012341780932968855,0.6650072565697499,0.7929068821826539
Q32B,People who have beliefs that are extreme or radical should b,1253,-0.04831903517028176,0.21087098822272488,0.357841676984018
Q32C,It is reasonable to assume that people who oversee elections,1253,0.016875551712487686,0.637841385772826,0.7765025565930056
Q32D,The news media should take more direction from the governmen,1250,-0.17012167891211902,1.0325642496667453e-06,1.6521027994667924e-05
Q32E,Laws should be created based on what is best for the majorit,1256,-0.06574053849769869,0.0027852727051556393,0.012797676191996647
Q32F,"Citizens, including those who hold radical views, should be ",1255,0.050816478685570085,0.04055407571185343,0.09462617666099135
Q32G,More power should be given to presidents and the executive b,1253,-0.1582499407185073,1.3521550099130897e-10,1.5144136111026607e-08
Q32H,The economic differences between the rich and poor in the Un,1256,-0.04607444141312678,0.33562271863526316,0.4758195504702465
Q32I,Society should aim to reduce the economic differences betwee,1254,-0.05215239276081125,0.28104072016087855,0.44333184025378025
Q32J,Americans expect much more from government than it can reaso,1256,-0.045992543211765866,0.22097896911108783,0.3693976797080871
Q33A,The Supreme Court and judicial branch,1254,-0.11151746069912961,0.0003646831733003725,0.003141885800741671
Q33B,Congress and the legislative branch,1253,-0.09681548293994814,0.002772718595356564,0.012797676191996647
Q33C,The presidency and executive branch,1255,-0.04431291624914809,0.07036323430873756,0.14593856004775196
Q33D,The people’s role in the democratic process,1255,-0.09843181372512672,0.002231065722488756,0.011358152769033666
Q33E,How elections are administered,1255,-0.1589416305073445,1.4849058773814041e-08,8.315472913335864e-07
Q33F,The criminal justice system,1255,-0.12064978096956772,0.0032009906110580712,0.013788882632250152
Q33G,That all people are treated equally under the law,1251,-0.11337466184448321,0.0004145366530235495,0.003316293224188396
Q33H,Freedom of the press,1253,-0.10500192882908332,0.01504305961940354,0.04680062992703323
Q33I,"Division of power between the federal judicial, legislative,",1256,-0.1254511183967898,0.0005843767244656257,0.004101831745743339
Q33J,"Division of power between federal, state, and local governme",1255,-0.1091095362741514,0.00014942316594566024,0.001394616215492829
Q34A,Local voting procedures and laws make it easy for people lik,1255,-0.09441737025910082,0.03786973808859137,0.0922045796939616
Q34B,"If I had a concern, I know how to share it with my elected o",1252,-0.07328931884526294,0.04897996937026951,0.1097151313894037
Q34C,People like me can effectively share their opinions and expe,1253,-0.07221735059140616,0.04586862972500703,0.10484258222858749
Q34D,I would feel comfortable openly expressing my opinions about,1255,-0.06433778689472112,0.0073012898879883026,0.024780135377414844
Q35A,Government decisions generally reflect what the majority of ,1255,-0.14652381291372016,1.1142874770702702e-07,4.1600065810623425e-06
Q35B,Government is sensitive to the interests of people like me w,1253,-0.12303164065423916,6.806357601908048e-06,9.528900642671268e-05
Q35C,Government includes many people who have similar backgrounds,1254,-0.08679316743665573,0.0008764644113946716,0.005453556337566845
Q35D,Government decisions usually attempt to serve the best inter,1254,-0.17117267101640354,2.540736233385519e-07,7.114061453479453e-06
Q35E,Our government’s laws and policies are careful to uphold fre,1251,-0.13422348721340316,0.0005859759636776198,0.004101831745743339
Q36A,government responsibility attitudes,1250,0.0020761659620087925,0.95416870189337,0.9895231339881964
Q36B,political opinions attitudes,1251,-0.06580372394933381,0.1250331005487293,0.23735097053318102
Q36C,political compromise attitudes,1250,0.08292047979910142,0.04049850454057807,0.09462617666099135
Q36D,political participation attitudes,1244,-0.0019109365652456769,0.9541830220600465,0.9895231339881964
Q36E,bridging differences attitudes,1247,0.003924383811327708,0.8871137402885017,0.9646285331292446
Q36F,cultural change attitudes,1245,-0.017306945329954748,0.616646264764978,0.7589492489415114
Q36G,national diversity attitudes,1246,-0.017206160955465722,0.5673737900398884,0.7060651609385278
Q36H,leadership style attitudes,1248,-0.029091735653365595,0.29634372348269955,0.45208706622152744
Q36I,influence of wealth individuals and business attitudes,1248,0.022283849852877548,0.35676613167886995,0.4994725843504179
Q36J,facts and opinions attitudes,1251,-0.09359465212307524,6.145704611313949e-07,1.3766378329343246e-05
Q36K,political violence attitudes,1246,0.04074001195891409,0.29375490519242264,0.45208706622152744
Q37,"Do you think young people today are more likely, less likely",1253,0.041746944668529275,0.11516724365598492,0.22239191878397085
Q38,Thinking about the perspectives you hear and read about poli,1250,0.008556609636831263,0.7829271736367508,0.8857357923971323
Q40,Have you ever served in the U.S. armed forces?,1247,9.395907045333177e-05,0.9971071751634567,0.9980834452928163
Q44,"How often do you usually attend church, synagogue, mosque, o",1252,-0.08824856293918683,0.15541919893687167,0.27198359813952544
Q46,Would you describe yourself as a born-again or Evangelical C,1253,-0.05768849934549524,0.06319175386816495,0.13610531602373988
Q47,Are you currently registered to vote?,1249,-0.027139000043913123,0.1497987746005075,0.26894328064923095
