var,label,b,beta_sd,p,n,q_bh
Q33J,"Division of power between federal, state, and local governme",-0.11523901058409633,-0.11298267412750414,0.15108399223589308,383,0.38870976376363325
Q15A,Not being able to afford basic necessities like food or hous,-0.03372231153584651,-0.08530083944265004,0.15135601420884834,383,0.38870976376363325
Q20E,Parler,-0.020519365654740343,-0.28469658029808675,0.15637729115101354,384,0.3926807533347673
Q44,"How often do you usually attend church, synagogue, mosque, o",-0.11792397709974789,-0.08495254399814771,0.16454458974539343,384,0.40420736176585775
Q12H,Feeling unwelcome or out of place when participating,-0.02834959170130152,-0.06063713133287384,0.17319696228510917,383,0.41640971783441144
Q36G,national diversity attitudes,0.04444584598607278,0.17624372908345637,0.18400247155070937,382,0.43317248510896167
Q33B,Congress and the legislative branch,0.06761985719749855,0.07667625665243026,0.1969356323861855,383,0.4541576828497747
Q33D,The people’s role in the democratic process,-0.11115087447913448,-0.10490569986928575,0.21184397675212663,384,0.4787673874598062
Q32B,People who have beliefs that are extreme or radical should b,0.1043950300140526,0.08517103465055689,0.21697045433569973,384,0.48073845764576606
Q24E,Donating money to candidates or causes,-0.05827943511800722,-0.06739434784802531,0.25755397446387907,384,0.5567880388127628
Q25,To what extent did you receive formal education about govern,-0.054078346664381036,-0.06790403029718356,0.2611483721865171,382,0.5567880388127628
Q20N,Bluesky,-0.04232599856768057,-0.07192025944355923,0.2786855745613187,385,0.5831753689894261
Q36J,facts and opinions attitudes,-0.018906520844866548,-0.12448875296381298,0.2925369737597121,382,0.5857110213881714
Q12C,You fear judgment or retaliation from others,-0.02999540177052141,-0.06668050773665153,0.29477894900317747,385,0.5857110213881714
ETHNICITY,"Are you of Hispanic origin or descent, such as Mexican, Puer",-0.019604906210176316,-0.05682687435938456,0.295447152381644,385,0.5857110213881714
Q30C,U.S. political leaders are committed to having a strong demo,-0.09313887150245159,-0.08860877184073766,0.30072092815422635,382,0.5858873255418547
Q1,Please imagine a ladder with steps numbered from zero at the,-0.13032708666102188,-0.06935492302207935,0.31319498039885474,382,0.5998480133062811
Q31,I trust that U.S. political leaders will be held accountable,-0.06703410755496869,-0.05448081925632654,0.32121662788367755,384,0.6049579825142594
Q12A,Your physical or mental health,-0.023116955386377584,-0.04758293574969431,0.345380554112906,385,0.6398033215534161
Q34C,People like me can effectively share their opinions and expe,-0.06249748592574031,-0.055125411062141444,0.3586268466024779,384,0.6440036099235047
Q29,"Whether or not you agree with current political leadership, ",0.08499908923126173,0.07471412618313723,0.35904626039983,380,0.6440036099235047
Q9C,Food,-0.058480329674255704,-0.07396316317217565,0.3666107246728837,384,0.6472970607505603
Q23,How much power do ordinary citizens have to create change in,0.10708099831394231,0.08603417577518867,0.39014720659782953,384,0.6782559130085344
Q20J,Twitch,-0.021649831658145036,-0.05108215031746247,0.4265033569607998,385,0.7164316438181108
Q36H,leadership style attitudes,0.021921261445221114,0.054415487752269925,0.43543275559411243,384,0.7164316438181108
Q20I,Discord,-0.03161500060357722,-0.056614407150163755,0.4442121480722244,384,0.7164316438181108
Q9A,Housing,0.06158413275812989,0.06732156449127445,0.4453229602992679,384,0.7164316438181108
Q32G,More power should be given to presidents and the executive b,0.048736437750274364,0.04684092116318086,0.4550807122229771,384,0.7164316438181108
Q20B,Facebook,-0.055517683228190194,-0.06580291689972141,0.45969250839477294,385,0.7164316438181108
Q32D,The news media should take more direction from the governmen,-0.06414632016192395,-0.0709295819105254,0.4620025424689457,384,0.7164316438181108
Q32F,"Citizens, including those who hold radical views, should be ",-0.03670449720941989,-0.05007963759176922,0.4685640982597742,383,0.7164316438181108
Q36I,influence of wealth individuals and business attitudes,0.016090487911563325,0.07223238777306558,0.47220071498251515,383,0.7164316438181108
Q12B,Your work or family obligations,0.033066195049863065,0.06619928635272541,0.47550772819786113,382,0.7164316438181108
Q18B,Business leaders,0.023383904899072994,0.05456072254665482,0.5015553741106302,385,0.7457336483487002
Q14A,An American,0.02962734161411605,0.032660972348792165,0.5263287949839568,384,0.751208022853183
Q34D,I would feel comfortable openly expressing my opinions about,-0.03822557431175491,-0.031159398498800995,0.5297382590582592,384,0.751208022853183
Q20D,Instagram,0.05065058697144477,0.05669334673141057,0.5312837704815432,385,0.751208022853183
Q10,"How often do you attend events in your community, such as fe",-0.03748451920446741,-0.04424887429695772,0.5318286887456163,384,0.751208022853183
Q36B,political opinions attitudes,-0.016811400251612357,-0.0384768480901318,0.5698304889394114,383,0.7894523306508524
Q36D,political participation attitudes,-0.015907929072509777,-0.033657819116910015,0.5728769125076982,382,0.7894523306508524
Q9B,Healthcare,-0.04496353373640011,-0.04977458755582735,0.584097996839068,384,0.7952177547327071
Q11,How often do you see people in your community showing disres,-0.042863746145385,-0.04624742947047828,0.5996928957765124,382,0.7958120112149141
Q18E,"Family, friends, and/or neighbors",0.0173097257647894,0.03629083029368256,0.6046074176686602,385,0.7958120112149141
Q9D,Schools,-0.04057038396954738,-0.03458465213331528,0.6091808419492979,382,0.7958120112149141
Q36K,political violence attitudes,0.009598995468416006,0.02619775050064223,0.6127541054540001,383,0.7958120112149141
Q33I,"Division of power between the federal judicial, legislative,",-0.043606200163446254,-0.04191034660743726,0.6233616033838348,384,0.7958120112149141
Q24F,Attending town hall meetings,-0.021362714660469084,-0.025388021497183607,0.6267899911338704,385,0.7958120112149141
Q36E,bridging differences attitudes,0.013431651793169765,0.028608535963104302,0.6596269073366239,383,0.825493642211195
Q18C,Elected officials,0.01593898745587398,0.03207646331927796,0.6647780658514933,385,0.825493642211195
Q15B,Not having access to necessary healthcare,-0.00855015879366594,-0.020745164632172762,0.698714282852777,384,0.8582034126343892
Q13,"In the past 12 months, have you volunteered or actively part",0.023141629221722027,0.029199922880959277,0.7207376560692523,384,0.8717023359020231
Q3,Which one of these phrases comes closest to your own feeling,0.018334074566690832,0.0194460253789374,0.7251329165910634,385,0.8717023359020231
Q18D,Education officials,-0.00960497216142285,-0.01978691818432608,0.7567889315420026,384,0.9001805185710136
Q36A,government responsibility attitudes,-0.010310035999952913,-0.021257444488998568,0.7833499761252956,383,0.9205605354798974
Q30B,Most people in the U.S. are committed to having a strong dem,0.017867422152441942,0.015920122513465286,0.790215680898673,382,0.9205605354798974
Q24D,Campaigning for political candidates or issues,0.01488105574560955,0.017856421881705727,0.8001638705546112,384,0.9226379323741946
Q12E,You don't believe it will make a difference,0.008499539843564706,0.017636056530822928,0.8492298734998368,384,0.9531338440146884
Q37,"Do you think young people today are more likely, less likely",0.006843167138492312,0.014930648535160629,0.8507101449827376,383,0.9531338440146884
Q30A,Democracy is the best form of government.,-0.014492973986358126,-0.013357060554910006,0.8536546765614392,382,0.9531338440146884
Q4,How often do you feel lonely?,-0.008687025954868397,-0.008732746836488095,0.8834825203308803,385,0.9531338440146884
Q20A,X (formerly Twitter),-0.01113508473463394,-0.014919818967911022,0.8860475923636635,384,0.9531338440146884
Q15C,"Feeling targeted or excluded due to race, gender, disability",-0.003364220622110472,-0.007655795035440291,0.8947232947677752,384,0.9531338440146884
Q12G,You have not been invited or encouraged to participate,0.004117389232549109,0.00829216397882359,0.9097959319274627,383,0.9531338440146884
Q20L,Snapchat,0.004282323980286468,0.0074730871997583355,0.9163324850854018,383,0.9531338440146884
Q32H,The economic differences between the rich and poor in the Un,-0.007530806159798148,-0.006558967558319376,0.9234357285884911,384,0.9531338440146884
Q27,"If you had to choose, which one of the following words or ph",-0.0052770117244888,-0.005156681388811664,0.9266939193356536,379,0.9531338440146884
Q20H,Gab,0.0015205616284211798,0.00999040188968256,0.9272580028116282,384,0.9531338440146884
Q24C,Non-violent protests and demonstrations,-0.006117854129252422,-0.0066633214759733725,0.9278294056780152,385,0.9531338440146884
Q2,On which step do you think you will stand about five years f,0.004916377193202565,0.0022768441053186315,0.9843934026961361,376,0.9975429253571284
Q6,About how many hours of free time do you have on a typical w,0.0015845004889470937,0.0007848276420043121,0.9887151118583928,383,0.9975429253571284
Q8,How often do you feel overloaded by information?,-0.00026223436331306894,-0.0002878475786757795,0.9975484674328348,384,0.9975484674328348
