var,label,n,b,p,q
Q33B,Congress and the legislative branch,524,0.019771556297575838,0.7253973367033592,0.8571199167030531
Q33C,The presidency and executive branch,524,-0.016623540409650597,0.726389092732113,0.8571199167030531
Q33D,The people’s role in the democratic process,525,-0.05925992305122368,0.28553609916655365,0.5987047240589027
Q33E,How elections are administered,525,-0.136988054510028,0.00015660094236328388,0.0033930204178711505
Q33F,The criminal justice system,524,-0.10687326002519955,0.03892777096877958,0.2024244090376538
Q33G,That all people are treated equally under the law,522,-0.12685110118341952,0.022287491821149634,0.13797018746425962
Q33H,Freedom of the press,524,-0.12440719827070967,0.030021705750376233,0.16703060483174034
Q33I,"Division of power between the federal judicial, legislativ",525,-0.0892018394502629,0.27922987659337195,0.5987047240589027
Q33J,"Division of power between federal, state, and local govern",524,-0.12135878702149766,0.07511881114838515,0.31501436933193766
Q34A,Local voting procedures and laws make it easy for people l,525,-0.0744569862719033,0.24006447215708027,0.5779329885263043
Q34B,"If I had a concern, I know how to share it with my elected",524,-0.10568056810467998,0.030836419353552066,0.16703060483174034
Q34C,People like me can effectively share their opinions and ex,525,-0.07284226411759404,0.09168869119690697,0.35057440751758545
Q34D,I would feel comfortable openly expressing my opinions abo,525,-0.02983182561282579,0.552219186734962,0.7844683710058941
Q35A,Government decisions generally reflect what the majority o,525,-0.08423790754360182,0.15698641536676056,0.42517154161830983
Q35B,Government is sensitive to the interests of people like me,525,-0.15348257469499976,0.09969227172618256,0.3525018227579545
Q35C,Government includes many people who have similar backgroun,524,-0.09608473956320163,0.012353442034237263,0.10706316429672294
Q35D,Government decisions usually attempt to serve the best int,524,-0.17671306027297473,0.005071856069752726,0.05494510742232119
Q35E,Our government’s laws and policies are careful to uphold f,523,-0.20009699085467714,0.0018965675057951666,0.02739486397259685
Q36A,government responsibility attitudes,523,-0.06863939401519259,0.31416495674131506,0.6095737966622532
Q36B,political opinions attitudes,524,0.019307782244490427,0.6600162923007279,0.8368473870968117
Q36C,political compromise attitudes,524,-0.017694274453781467,0.8345868809488529,0.9041357876945906
Q36D,political participation attitudes,524,0.0013173935073215344,0.9815161845357375,0.9876633843539652
Q36E,bridging differences attitudes,523,0.031024078626292223,0.5497318815788487,0.7844683710058941
Q36F,cultural change attitudes,521,-0.05591826915865972,0.3047784700510334,0.6095737966622532
Q36G,national diversity attitudes,523,0.05213955740825455,0.4182181241624495,0.7060825472872524
Q36H,leadership style attitudes,524,0.06731937451629158,0.32475535560738933,0.6208558268964796
Q36I,influence of wealth individuals and business attitudes,524,0.10754771670445842,0.13290614781403337,0.3926772549050986
Q36J,facts and opinions attitudes,524,-0.06998183750513598,0.31057155593465,0.6095737966622532
Q36K,political violence attitudes,524,-0.05121865851107663,0.48916044947067017,0.7481277462492603
Q37,"Do you think young people today are more likely, less like",525,-0.07185500895771785,0.2818031562189587,0.5987047240589027
Q38,Thinking about the perspectives you hear and read about po,522,-0.04623797902813857,0.4266273049424243,0.7110455082373739
Q40,Have you ever served in the U.S. armed forces?,522,0.07590163268586633,0.12719249530921173,0.38453545093482616
Q44,"How often do you usually attend church, synagogue, mosque,",525,0.0383224984777586,0.3859626968672346,0.6690020079032067
Q46,Would you describe yourself as a born-again or Evangelical,525,-0.1258801089708299,0.015818050109790406,0.1209615596631031
Q47,Are you currently registered to vote?,524,0.027893381147392492,0.35696661131006113,0.6502712798292393
cyn8,cyn8,525,0.19380351558683834,0.0014457519119780672,0.02349346856964359
q33e_rev,q33e_rev,525,0.136988054510028,0.00015660094236328236,0.0033930204178711505
excl,excl,525,0.2153183227094459,0.007789060077047138,0.07789060077047137
econ_griev,econ_griev,525,0.12305839137276034,0.047604802249537836,0.22102229615856853
disaffect,disaffect,525,0.1635111907429902,0.0007745399968113535,0.014384314226496563
strong_partisan,strong_partisan,347,0.031728486549481266,0.6870989694668292,0.8571199167030531
nplat,nplat,525,0.08531064141527908,0.040555156196998045,0.20277578098499022
nsrc,nsrc,525,-0.01908330982909343,0.7561636440953587,0.8622918748455846
sm_hours,sm_hours,524,0.15726540012263368,1.4346286147019209e-05,0.0004662542997781243
age,age,535,0.08183525637384875,0.6163847840246774,0.8193629802960299
edu,edu,535,-0.2680949064732006,1.239557031998187e-05,0.0004662542997781243
income,income,526,0.06507558765284394,0.4646691685723432,0.7366706331024954
female,female,535,0.034966849832349725,0.7020593084873117,0.8571199167030531
white,white,535,-0.0948362370017779,0.00993581016138124,0.09226109435568293
attn,attn,535,0.0868666198024537,0.2503898506318085,0.5918305560388202
urc,urc,533,0.001159684902912697,0.9829064605555194,0.9876633843539652
isR,isR,535,9.020562075079397e-17,0.9405704876538479,0.9876633843539652
isInd,isInd,535,6.85649453879833e-16,0.5293911548310797,0.7820551150913677
