item,wording,b_alone,p_alone,b_net,p_net,N,q_alone,q_net,scan
Q9C,Food Scale Input 5 Right F40 F40,-0.06424658169514172,0.3204888656057834,0.041404049513509414,0.5586226210734679,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q9D,Schools Scale Input 5 Right F40 F40,-0.01336145017324103,0.782924144806009,0.0323773971479452,0.6231977427286903,532,0.9203467887116913,0.9189135755881276,YEAR 1 (535)
Q9E,Childcare Scale Input 5 Right F40 F40,-0.04806752873227731,0.41575244341362755,-0.013985430879395064,0.8543747680811693,531,0.8053988675293001,0.9722049782295833,YEAR 1 (535)
Q10,"How often do you attend events in your community, ",-0.056101051915668575,0.42724076147955264,-0.065879238651989,0.43671538773304186,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q11,How often do you see people in your community show,0.03552024722184705,0.6959031343287791,-0.007102379469164102,0.9424181517937446,530,0.8769816633339758,0.9767446993875256,YEAR 1 (535)
Q12A,Your physical or mental health Scale Input 5 Right,-0.0022166836614247315,0.9532534432769532,0.039596200861191255,0.5010349018510246,535,0.9862983065818408,0.9189135755881276,YEAR 1 (535)
Q12B,Your work or family obligations Scale Input 5 Righ,0.05487481946862133,0.4357229849230414,0.11499010744834334,0.21245548700006947,531,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q12C,You fear judgment or retaliation from others Scale,-0.06330331018873082,0.18695993584978232,-0.01145993438118362,0.8664795246248179,534,0.7314445926622197,0.9727458814184277,YEAR 1 (535)
Q12D,You are unsure how to get involved Scale Input 5 R,-0.04723162328585516,0.3481622653346598,-0.03832668890897366,0.5857873345873431,533,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q12E,You don't believe it will make a difference Scale ,0.07837042929896842,0.5242485696960264,0.02622131003517208,0.8129202565379197,534,0.831924204363072,0.9722049782295833,YEAR 1 (535)
Q12F,Not knowing enough about the issues Scale Input 5 ,-0.05051656317018786,0.2159646469624037,-0.07967115576844438,0.29002282552548636,533,0.7489022835890322,0.9189135755881276,YEAR 1 (535)
Q12G,You have not been invited or encouraged to partici,0.04677979299147983,0.44108696657329255,-0.04680396421627757,0.46312441524152403,533,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q12H,Feeling unwelcome or out of place when participati,-0.0014942325159506657,0.9820644817426983,0.0195122692582731,0.8214053850189369,533,0.99038706209645,0.9722049782295833,YEAR 1 (535)
Q12I,You have no desire to get involved Scale Input 5 R,-0.07622077448067933,0.2265586740269341,-0.16166889323317493,0.017371827215971573,532,0.7489022835890322,0.8809649817994989,YEAR 1 (535)
Q13,"In the past 12 months, have you volunteered or act",0.02919277000760527,0.7001114119052748,0.1050391400208486,0.24658765410535438,534,0.8769816633339758,0.9189135755881276,YEAR 1 (535)
Q14A,An American Scale Input 5 Right F40 F40,0.04300913783202373,0.6496951786042848,0.1303982079056241,0.163901960603067,534,0.844984048175377,0.9189135755881276,YEAR 1 (535)
Q14B,A member of your local community Scale Input 5 Rig,-0.08689684364357177,0.0939048071983429,-0.09937381392030928,0.15432151765477203,535,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q15A,Not being able to afford basic necessities like fo,-0.05120250305405143,0.16900867677210107,0.007303732019003344,0.9203056278515549,533,0.6941762030155182,0.9767446993875256,YEAR 1 (535)
Q15B,Not having access to necessary healthcare Scale In,0.022309335277825568,0.7411405970793553,0.09448019725381494,0.23008976275014004,534,0.909234340746838,0.9189135755881276,YEAR 1 (535)
Q15C,"Feeling targeted or excluded due to race, gender, ",-0.011025375079448682,0.8266349213756882,0.07784760183815773,0.29911968318976934,534,0.9368529108924466,0.9189135755881276,YEAR 1 (535)
Q16,How concerned are you about being affected by crim,0.12634111060516723,0.048976718997715954,0.08145901044521603,0.24858284632814548,535,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q18A,Religious or faith leaders Scale Input 5 Right F40,-0.027961862235066352,0.46847518112255326,-0.005932202488059448,0.887285510889256,532,0.831924204363072,0.9767446993875256,YEAR 1 (535)
Q18B,Business leaders Scale Input 5 Right F40 F40,0.004987689203798294,0.9349302829865763,0.013727859895199536,0.8466320694492743,534,0.9862983065818408,0.9722049782295833,YEAR 1 (535)
Q18C,Elected officials Scale Input 5 Right F40 F40,0.024676272187862756,0.6459509557995272,0.005017967146038464,0.9440945686829761,533,0.844984048175377,0.9767446993875256,YEAR 1 (535)
Q18D,Education officials Scale Input 5 Right F40 F40,-0.047225078591103656,0.3781304964390111,-0.040010380255559544,0.5906030485420289,533,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q18E,"Family, friends, and/or neighbors Scale Input 5 Ri",0.000982923364239295,0.9784841837820115,-0.07098119819622485,0.22344394506678217,534,0.99038706209645,0.9189135755881276,YEAR 1 (535)
Q20A,X (formerly Twitter) Scale Input 5 Right F40 F40,0.08421097982402728,0.27999308508602244,0.08134034191852786,0.35124811668893785,533,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q20B,Facebook Scale Input 5 Right F40 F40,-0.1425640143455265,0.13102118848191124,-0.196518711662033,0.11388458274422554,535,0.6236608571738975,0.9189135755881276,YEAR 1 (535)
Q20C,Truth Social Scale Input 5 Right F40 F40,-0.036751820860915566,0.4466918088817967,0.02264413935761707,0.7133091250961587,534,0.8053988675293001,0.9534460742016784,YEAR 1 (535)
Q20D,Instagram Scale Input 5 Right F40 F40,0.06242126118903724,0.5242870984375352,0.10081929100433618,0.3974252147455139,535,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q20E,Parler Scale Input 5 Right F40 F40,-0.021813426290292755,0.53086738744305,-0.019350579054066466,0.5964612818434246,533,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q20F,TikTok Scale Input 5 Right F40 F40,-0.12059677378463171,0.042636735057528054,-0.08240266083328188,0.2408465011766742,533,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q20G,Rumble Scale Input 5 Right F40 F40,-0.1614600431175046,0.4251895943623481,-0.1515360365284396,0.4939683821738351,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q20H,Gab Scale Input 5 Right F40 F40,-0.0005839315505672335,0.9614336433907019,-0.005935137894631858,0.7652178570216005,534,0.9862983065818408,0.9687332445273453,YEAR 1 (535)
Q20I,Discord Scale Input 5 Right F40 F40,0.04374808766787405,0.5022703933031184,0.05223124888283902,0.5451933615479092,534,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q20J,Twitch Scale Input 5 Right F40 F40,0.02869505163442409,0.6327973617310184,0.013385759307018436,0.8578279219672793,534,0.844984048175377,0.9722049782295833,YEAR 1 (535)
Q20K,YouTube Scale Input 5 Right F40 F40,-0.2622901808559441,0.03918022043725456,-0.09742479406705525,0.13189649703252465,534,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q20L,Snapchat Scale Input 5 Right F40 F40,0.019815297083784898,0.656869852581541,-0.0277574800572417,0.6332009512456005,531,0.844984048175377,0.9189135755881276,YEAR 1 (535)
Q20M,Reddit Scale Input 5 Right F40 F40,-0.05718050325144998,0.44564652891262935,-0.030213922840460098,0.7309381399956613,534,0.8053988675293001,0.9534460742016784,YEAR 1 (535)
Q20N,Bluesky Scale Input 5 Right F40 F40,-0.13332060889596362,0.2519872962324606,-0.03905563187338293,0.7120888693378512,535,0.8053988675293001,0.9534460742016784,YEAR 1 (535)
Q21,"On average, how much time PER DAY do you spend act",0.15410226413107786,0.009091440161614778,0.09048083142424848,0.08143373781339906,534,0.5254933715642474,0.8809649817994989,YEAR 1 (535)
Q22,The experiences and beliefs of people like me are ,-0.10289577542772994,0.1530252631275153,-0.1171403042027156,0.1388919249446133,535,0.6744446782286786,0.9189135755881276,YEAR 1 (535)
Q23,How much power do ordinary citizens have to create,0.008388050764260059,0.9140997345034242,-0.047808970813307636,0.6307371063125935,532,0.9862983065818408,0.9189135755881276,YEAR 1 (535)
Q24A,Voting Scale Input 5 Right F40 F40,0.015489797260512563,0.8261409633405498,0.062731705041196,0.5312900310518546,534,0.9368529108924466,0.9189135755881276,YEAR 1 (535)
Q24B,"Contacting elected officials by letter, email, or ",-0.1118448445486744,0.06742752292394631,-0.11329419489643518,0.13839101942906673,535,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q24C,Non-violent protests and demonstrations Scale Inpu,5.5395134680411484e-05,0.39725798366308834,1.5553387110463657e-05,0.8102967221207044,535,0.8053988675293001,0.9722049782295833,YEAR 1 (535)
Q24D,Campaigning for political candidates or issues Sca,0.008389447264768389,0.8771804419995515,-0.04812774107052178,0.4758558378348474,534,0.9613808573679409,0.9189135755881276,YEAR 1 (535)
Q24E,Donating money to candidates or causes Scale Input,-0.012765086309925858,0.771966419847992,-0.052441636158572516,0.3611240466560799,534,0.9203467887116913,0.9189135755881276,YEAR 1 (535)
Q24F,Attending town hall meetings Scale Input 5 Right F,-0.012755957113594124,0.7390300379678915,-0.02631653301223487,0.6417946022539466,534,0.909234340746838,0.9201633454002367,YEAR 1 (535)
Q25,To what extent did you receive formal education ab,-0.03581944776699107,0.4074703077424676,-0.03551923955739735,0.6111395130647644,532,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q26,"Growing up, how much did your parents, relatives, ",-0.12558012986832243,0.0911886435326028,-0.16686590731619683,0.06789046412139695,532,0.5587336028301403,0.8809649817994989,YEAR 1 (535)
Q27,"If you had to choose, which one of the following w",-0.06782408928030724,0.26664557476610357,-0.09801103853116949,0.1927527909265333,527,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q29,Whether or not you agree with current political le,-0.03474130460300861,0.6121101420131221,-0.025637219550197925,0.681372761404338,528,0.844984048175377,0.9534460742016784,YEAR 1 (535)
Q30A,Democracy is the best form of government. Scale In,-0.005641053686383293,0.880592550026097,0.048787783026856685,0.4422817366189739,532,0.9613808573679409,0.9189135755881276,YEAR 1 (535)
Q30B,Most people in the U.S. are committed to having a ,-0.004164849785160945,0.9541356845790548,0.06457241847936283,0.37282624536602665,532,0.9862983065818408,0.9189135755881276,YEAR 1 (535)
Q30C,U.S. political leaders are committed to having a s,-0.05754573640681228,0.41258309836464496,0.008152073844863307,0.9277054630615782,532,0.8053988675293001,0.9767446993875256,YEAR 1 (535)
Q31,I trust that U.S. political leaders will be held a,-0.023011135694949537,0.7764039602662534,-0.012936778429051748,0.8815413886804863,533,0.9203467887116913,0.9767446993875256,YEAR 1 (535)
Q32A,"Every citizen should have the right to vote, even ",-0.054728020500454756,0.3010145509373256,-0.10428408943282479,0.15331824329366953,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q32B,People who have beliefs that are extreme or radica,0.1506418746535797,0.11947890640458332,0.04639779294945624,0.6244894764939,534,0.6236608571738975,0.9189135755881276,YEAR 1 (535)
Q32C,It is reasonable to assume that people who oversee,0.24183317775972774,0.005382373111953941,0.16460725740785292,0.02017323806574617,533,0.5254933715642474,0.8809649817994989,YEAR 1 (535)
Q32D,The news media should take more direction from the,-0.02391019758511114,0.6446511433209512,0.045691136001386135,0.43509362896009435,534,0.844984048175377,0.9189135755881276,YEAR 1 (535)
Q32E,Laws should be created based on what is best for t,0.06385084297979196,0.12348178030960678,0.07228924656898994,0.2103306186354846,534,0.6236608571738975,0.9189135755881276,YEAR 1 (535)
Q32F,"Citizens, including those who hold radical views, ",0.02901220372172602,0.5471174980412039,0.04403808269426388,0.48440031328356,533,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q32G,More power should be given to presidents and the e,-0.02823053317650801,0.6450041558594062,0.051959566719770145,0.2619605612813897,534,0.844984048175377,0.9189135755881276,YEAR 1 (535)
Q32H,The economic differences between the rich and poor,0.08255062709923473,0.19054438968511608,0.025611122463044093,0.5779045305114733,534,0.7314445926622197,0.9189135755881276,YEAR 1 (535)
Q32I,Society should aim to reduce the economic differen,0.005158600678901533,0.955230578294854,-0.06262575627565088,0.457720753474183,534,0.9862983065818408,0.9189135755881276,YEAR 1 (535)
Q32J,Americans expect much more from government than it,-0.05179160897804657,0.3832140018860412,0.0036494932578582722,0.9521208834365795,534,0.8053988675293001,0.9767446993875256,YEAR 1 (535)
Q33A,The Supreme Court and judicial branch Scale Input ,-0.11937359716479223,0.10811898433083128,-0.040931255082960485,0.536172228507454,534,0.6126742445413772,0.9189135755881276,YEAR 1 (535)
Q33B,Congress and the legislative branch Scale Input 5 ,0.029327548739140757,0.5903095496642329,0.06850061379263453,0.26556809569565465,533,0.844984048175377,0.9189135755881276,YEAR 1 (535)
Q33C,The presidency and executive branch Scale Input 5 ,-0.015829332483616378,0.774852840651564,0.019858574614002374,0.7054994788456849,533,0.9203467887116913,0.9534460742016784,YEAR 1 (535)
Q33D,The people’s role in the democratic process Scale ,-0.0653068906607137,0.34632459240170166,-0.0688551416085576,0.411663300594308,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q33E,How elections are administered Scale Input 5 Right,-0.1298761522749054,0.03162287849422054,-0.015457933884738118,0.8275939033334492,534,0.5587336028301403,0.9722049782295833,YEAR 1 (535)
Q33F,The criminal justice system Scale Input 5 Right F4,-0.09114273744946054,0.05947656585887542,-0.05316931628969502,0.32333418595608826,533,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q33G,That all people are treated equally under the law ,-0.0731186655334645,0.16916899065084057,0.00177703611273096,0.9684342171428151,531,0.6941762030155182,0.9849886482050855,YEAR 1 (535)
Q33H,Freedom of the press Scale Input 5 Right F40 F40,-0.11371231669590909,0.1500809669255889,-0.001930949326258639,0.9795964721873679,532,0.6744446782286786,0.9878981372059049,YEAR 1 (535)
Q33I,"Division of power between the federal judicial, le",-0.061087491770664075,0.5386215123061706,0.058243356396971264,0.4804839426623256,534,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q33J,"Division of power between federal, state, and loca",-0.1107029815031176,0.12606966832414368,0.010375064744084565,0.8544928283379517,533,0.6236608571738975,0.9722049782295833,YEAR 1 (535)
Q34A,Local voting procedures and laws make it easy for ,-0.07415698651737883,0.20507735583460338,0.04676602544565011,0.5489594429192276,534,0.7395213740702363,0.9189135755881276,YEAR 1 (535)
Q34B,"If I had a concern, I know how to share it with my",-0.1062001304327635,0.05694431575696147,-0.10313667787055998,0.1888948325979812,533,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q34C,People like me can effectively share their opinion,-0.0805479666882798,0.2877060922557406,0.0011467620623911378,0.9879143579713351,534,0.8053988675293001,0.9879143579713351,YEAR 1 (535)
Q34D,I would feel comfortable openly expressing my opin,-0.051578151693025875,0.39674216432036685,-0.044649289012212184,0.5455553421108222,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q35A,Government decisions generally reflect what the ma,-0.10302431395981977,0.08638536924124085,-0.03002291031958577,0.5808121503251957,534,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q35B,Government is sensitive to the interests of people,-0.14638511122034825,0.200474451691987,-0.05339253398595253,0.5619165275417884,534,0.7395213740702363,0.9189135755881276,YEAR 1 (535)
Q35C,Government includes many people who have similar b,-0.12495491075386067,0.01324773205624153,-0.10296774634619382,0.06133254714946492,533,0.5254933715642474,0.8809649817994989,YEAR 1 (535)
Q35D,Government decisions usually attempt to serve the ,-0.171417942029419,0.031867419427071685,-0.062245017716403374,0.38672770205984935,533,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q35E,Our government’s laws and policies are careful to ,-0.17624402241715603,0.029505601120716766,-0.08760311324410455,0.20935619905280453,531,0.5587336028301403,0.9189135755881276,YEAR 1 (535)
Q36A,government responsibility attitudes Scale Input 5 ,-0.051612677895291566,0.5522858163418713,0.0456196447575284,0.5109585461171415,532,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q36B,political opinions attitudes Scale Input 5 Right F,0.0303844893647506,0.5454023217249113,0.05720967320860155,0.39590085878712666,533,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q36C,political compromise attitudes Scale Input 5 Right,-0.06574048616362144,0.4932889934806266,-0.1086383695313304,0.3235866843719126,533,0.831924204363072,0.9189135755881276,YEAR 1 (535)
Q36D,political participation attitudes Scale Input 5 Ri,0.011343016093727913,0.8506451978101283,-0.007963157348419164,0.9076273894774456,531,0.9549696088623137,0.9767446993875256,YEAR 1 (535)
Q36E,bridging differences attitudes Scale Input 5 Right,0.005462254154384592,0.9456803239395699,-0.023694747403956183,0.7858035439691499,532,0.9862983065818408,0.9722049782295833,YEAR 1 (535)
Q36F,cultural change attitudes Scale Input 5 Right F40 ,-0.09878409199709084,0.07379156553026854,-0.1506232642150822,0.059699396050294916,530,0.5587336028301403,0.8809649817994989,YEAR 1 (535)
Q36G,national diversity attitudes Scale Input 5 Right F,0.03925499031926437,0.6448053400182674,0.07611132447466382,0.41107883325070366,531,0.844984048175377,0.9189135755881276,YEAR 1 (535)
Q36H,leadership style attitudes Scale Input 5 Right F40,0.0503754383685744,0.344426562313301,0.05336963673338152,0.394252099106296,533,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q36I,influence of wealth individuals and business attit,0.06863017590962003,0.2572319504477314,0.09381801599928635,0.1594076339747314,533,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q36J,facts and opinions attitudes Scale Input 5 Right F,-0.01858367761434551,0.40088094012426184,-0.020183919215418577,0.4893033587487617,532,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q36K,political violence attitudes Scale Input 5 Right F,-0.08472432751171312,0.41530972009879347,-0.100256940182494,0.39669193532531494,533,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q37,"Do you think young people today are more likely, l",-0.02696232962085696,0.517634078941581,0.016260841148492064,0.7585836127989558,533,0.831924204363072,0.9687332445273453,YEAR 1 (535)
Q38,Thinking about the perspectives you hear and read ,-0.05461814914872974,0.488747827064479,-0.02508402435946012,0.7953166359294436,531,0.831924204363072,0.9722049782295833,YEAR 1 (535)
Q39A,The Republican Party Scale Input 5 Right F40 F40,-0.02590918284206689,0.43231176204630845,0.014833810701373823,0.5298527522574432,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q39B,The Democratic Party Scale Input 5 Right F40 F40,0.1514238960812864,0.08728309580107364,0.16369675978504405,0.06824242927491447,534,0.5587336028301403,0.8809649817994989,YEAR 1 (535)
Q40,Have you ever served in the U.S. armed forces? Sca,0.037353689222347435,0.5658761942094689,0.06640292864336135,0.36317710914123214,531,0.8417408388865849,0.9189135755881276,YEAR 1 (535)
Q44,"How often do you usually attend church, synagogue,",0.03662398946227234,0.3876065905036462,0.05384205622805759,0.25796477578314575,534,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q45,What is your religious preference? - Selected Choi,-0.08934948567435275,0.2892864940611889,-0.15894624086566103,0.14713404973879368,532,0.8053988675293001,0.9189135755881276,YEAR 1 (535)
Q46,Would you describe yourself as a born-again or Eva,-0.11073293149812598,0.08287597989148,-0.10402893508959667,0.08041716602247839,533,0.5587336028301403,0.8809649817994989,YEAR 1 (535)
Q47,Are you currently registered to vote? Scale Input ,-0.008223730611337495,0.5906797944721048,-0.033736650779273264,0.2924680962990177,533,0.844984048175377,0.9189135755881276,YEAR 1 (535)
Q48,Which of the following best describes your current,0.10812206526849055,0.07195565858249234,0.14316290253614278,0.06761403372037901,532,0.5587336028301403,0.8809649817994989,YEAR 1 (535)
Q49,"What is your total ANNUAL household income, before",0.008934958392779378,0.7966026826664219,-0.013142218043931087,0.733819177970763,526,0.9203467887116913,0.9534460742016784,YEAR 1 (535)
Q51,Which of the following best describes your backgro,-0.01360574020150819,0.7943248824039191,0.05599797464754856,0.4065713876097941,530,0.9203467887116913,0.9189135755881276,YEAR 1 (535)
Q1,Please imagine a ladder with steps numbered from z,-0.19247089312727422,0.08654365176160884,-0.04321669663017609,0.4401455289934427,500,0.674197822550418,0.9569114918156072,"YEAR 2, Y1-style match"
Q2,On which step do you think you will stand about fi,-0.15493761162880493,0.15636075057778887,-0.03753714306618186,0.6967751282794975,501,0.8640988847719911,0.9569114918156072,"YEAR 2, Y1-style match"
Q3,Which one of these phrases comes closest to your o,0.20922474590303192,0.051200074015977495,0.10753169661893569,0.36456661867378376,501,0.5653868625680714,0.9569114918156072,"YEAR 2, Y1-style match"
Q9A,Housing,0.028991503325076315,0.676238370576664,-0.005396928135696852,0.9477765612461138,500,0.9028399472158791,0.9853058059816246,"YEAR 2, Y1-style match"
Q9B,Healthcare,0.06900814748350612,0.3292669645503797,0.10988176624620319,0.2962591719034717,499,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q9C,Food,-0.043590403437567676,0.43826570554923505,-0.05033939977939734,0.6296357411139145,500,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q9D,Schools,-0.11428225961329266,0.19137118301004846,-0.21671712282897496,0.04078104760392237,499,0.8736510528719603,0.9569114918156072,"YEAR 2, Y1-style match"
Q9E,Childcare,0.0027011911805123884,0.9641426955951115,0.04751750106491211,0.555514871223487,499,0.9998301625950471,0.9569114918156072,"YEAR 2, Y1-style match"
Q10,"How often do you attend events in your community, ",-0.14191025199386537,0.21788384437851935,-0.07630235936017955,0.48489245418688354,501,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q12A,Your physical or mental health,-0.00036219716089863976,0.996755692620065,0.07921215660801016,0.3690686607526723,500,0.9998301625950471,0.9569114918156072,"YEAR 2, Y1-style match"
Q12B,Your work or family obligations,0.04476654430600642,0.44541359930229585,0.07528075600305276,0.4984274806334654,501,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q12C,You fear judgment or retaliation from others,0.04803638365908113,0.5497546791079181,0.13312174013358663,0.09414897145294765,501,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q12D,You are unsure how to get involved,0.05726663252015327,0.3911350264966126,0.05984826820126296,0.5478606155632214,499,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q12E,You don't believe it will make a difference,-0.0162281740550506,0.8576717547152921,0.010153194995648526,0.9329321873841976,501,0.9998301625950471,0.9853058059816246,"YEAR 2, Y1-style match"
Q12F,Not knowing enough about the issues,0.0077626503085726824,0.9250095073694207,0.033605337427171506,0.6943150229712185,500,0.9998301625950471,0.9569114918156072,"YEAR 2, Y1-style match"
Q12G,You have not been invited or encouraged to partici,-0.11854434484578977,0.09969411586164956,-0.07983790458207726,0.4451286598657409,501,0.6978588110315469,0.9569114918156072,"YEAR 2, Y1-style match"
Q12H,Feeling unwelcome or out of place when participati,-0.10639342213435513,0.11873273763026142,-0.10620082412589972,0.16983649126848302,501,0.7333492618339675,0.9569114918156072,"YEAR 2, Y1-style match"
Q12I,You have no desire to get involved,-0.09475411216956542,0.18648857442815606,0.034403340349939165,0.6300853499710728,501,0.8736510528719603,0.9569114918156072,"YEAR 2, Y1-style match"
Q14A,An American,0.07799335615938524,0.18614386758478577,0.0072484793665003495,0.9189314363565049,501,0.8736510528719603,0.9853058059816246,"YEAR 2, Y1-style match"
Q14B,A member of your local community,0.009941473328621005,0.937925936760083,0.03538505652760355,0.8363658260066453,501,0.9998301625950471,0.9769759976807926,"YEAR 2, Y1-style match"
Q18A,Religious or faith leaders,-0.07210767374185217,0.5673022594635873,-0.06492759314649355,0.7147548286654042,500,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q18B,Business leaders,0.030240551917073845,0.7799138721617078,0.14131004984885975,0.35059850629673334,499,0.9522204253137131,0.9569114918156072,"YEAR 2, Y1-style match"
Q18C,Elected officials,-0.10654708200395559,0.23280540075184217,-0.08190844942820949,0.5002149205288132,499,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q18D,Education officials,-0.049631636886270744,0.5850358707229022,0.04063798609915045,0.7324993676799795,501,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q18E,"Family, friends, and/or neighbors",-0.1711925713852978,0.04038600505067981,-0.1148646054349596,0.1675041396121369,501,0.5563024269481539,0.9569114918156072,"YEAR 2, Y1-style match"
Q21,"On average, how much time PER DAY do you spend act",0.13945899275558285,0.11064680153495333,0.04307492641996079,0.7143373449550672,497,0.7261196350731312,0.9569114918156072,"YEAR 2, Y1-style match"
Q22,The experiences and beliefs of people like me are ,-0.15861222473110076,0.27749758554097137,-0.027637544445699404,0.8725351992912664,498,0.8902719771870251,0.9769759976807926,"YEAR 2, Y1-style match"
Q23,How much power do ordinary citizens have to create,0.10758390796221458,0.41267764815515046,0.28299895505236916,0.10429796408635744,501,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q27,"If you had to choose, which one of the following w",0.03113337403355823,0.7037097297123663,-0.04797029733625356,0.7165729506739282,501,0.9028399472158791,0.9569114918156072,"YEAR 2, Y1-style match"
Q29,Whether or not you agree with current political le,0.061449324809902714,0.49095522015362847,-0.05169569124076283,0.738188865114897,495,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
Q30A,Democracy is the best form of government.,-0.011212089511639045,0.9302302073444283,0.03577308592342393,0.8137485564823913,501,0.9998301625950471,0.9769759976807926,"YEAR 2, Y1-style match"
Q30B,Most people in the U.S. are committed to having a ,0.02617648396584107,0.7115214145590398,0.018455916429200674,0.9000080751956255,500,0.9028399472158791,0.9853058059816246,"YEAR 2, Y1-style match"
Q30C,U.S. political leaders are committed to having a s,0.0328382379074434,0.7050924100114564,0.025224944386506985,0.8370624798461658,501,0.9028399472158791,0.9769759976807926,"YEAR 2, Y1-style match"
Q31,I trust that U.S. political leaders will be held a,0.16695116094057466,0.018363926152903772,0.15156038053210313,0.07199062779517028,501,0.5563024269481539,0.9569114918156072,"YEAR 2, Y1-style match"
Q32C,It is reasonable to assume that people who oversee,0.07024576885139854,0.45871982405789613,-0.06594144582769446,0.5554879973795591,501,0.8902719771870251,0.9569114918156072,"YEAR 2, Y1-style match"
