outcome,wording,b_out,p_out,b_out_net_addr,p_out_net_addr,b_out_net_inten,p_out_net_inten,b_inten_net_out,p_inten_net_out,q_out,q_out_net_addr,q_out_net_inten,q_inten_net_out
Q27,"If you had to choose, which one of the follo",0.02188735193717306,0.654633674577684,0.02188735193717306,0.654633674577684,-0.03610954446817118,0.6804357186380231,0.062335969563849694,0.36396408244687023,0.8915265384996187,0.8915265384996187,0.8827962263594958,0.6161349814270166
Q29,Whether or not you agree with current politi,0.03930116197126489,0.7764136880213666,0.03930116197126489,0.7764136880213666,-0.014267341637508632,0.9222034680722597,0.057478556071841394,0.6544706345078175,0.8969262304035419,0.8969262304035419,0.9650966526337601,0.7171699240739546
Q30A,Democracy is the best form of government.,-0.06755818361891555,0.2930241487707206,-0.06755818361891555,0.2930241487707206,-0.09867470169469897,0.2682641255899264,0.033328171304711,0.6693585958023577,0.5976795531512447,0.5976795531512447,0.8047923767697792,0.7171699240739546
Q30B,Most people in the U.S. are committed to hav,-0.020364262215690834,0.8080502123307194,-0.020364262215690834,0.8080502123307194,-0.1327185431152991,0.31810464209079814,0.12033480960432966,0.24738361782144916,0.8969262304035419,0.8969262304035419,0.8827962263594958,0.5413930405963093
Q30C,U.S. political leaders are committed to havi,-0.020518842830090513,0.8371311483766392,-0.020518842830090513,0.8371311483766392,0.0421913325133442,0.7808677289916247,-0.06716739518554982,0.5816305677386558,0.8969262304035419,0.8969262304035419,0.901001225759567,0.690529773557849
Q31,I trust that U.S. political leaders will be ,0.0721736872455661,0.24625446460605946,0.0721736872455661,0.24625446460605946,0.027762156915894343,0.7578751255533867,0.04776153096273357,0.612016773853593,0.5540725453636338,0.5540725453636338,0.9001708472888663,0.7061732006002995
Q32C,It is reasonable to assume that people who o,0.2584297501315532,0.0006312194013273024,0.2584297501315532,0.0006312194013273024,0.03881156500300337,0.6318051021209989,0.2361048176612242,0.009491158089769856,0.022054002833337263,0.022054002833337263,0.8827962263594958,0.10677552850991087
Q32H,The economic differences between the rich an,0.05347059801336456,0.5839193355698574,0.05347059801336456,0.5839193355698574,0.026533497883484,0.8044753746839125,0.02895603207100584,0.7559512588541378,0.821136565645112,0.821136565645112,0.9050347965194017,0.7863322788882652
Q33A,The Supreme Court and judicial branch,-0.09405137689184595,0.38649377884953395,-0.09405137689184595,0.38649377884953395,0.03445784917007137,0.7585061178922775,-0.13821161534049253,0.20402961668384437,0.6441562980825566,0.6441562980825566,0.9001708472888663,0.4832280395143682
Q33B,Congress and the legislative branch,0.014325266880127679,0.8197706635625209,0.014325266880127679,0.8197706635625209,0.0883698755201607,0.49746585412593086,-0.07959080669661939,0.4299022898113824,0.8969262304035419,0.8969262304035419,0.8827962263594958,0.6161349814270166
Q33C,The presidency and executive branch,0.15452661409698634,0.22801079591709186,0.15452661409698634,0.22801079591709186,0.06402216096879554,0.6866192871684967,0.09758139516161578,0.44438231937407224,0.5540725453636338,0.5540725453636338,0.8827962263594958,0.6161349814270166
Q33D,The peoples role in the democratic process,-0.04889426780211441,0.5400813247668573,-0.04889426780211441,0.5400813247668573,-0.1487416728168886,0.25285878581180743,0.10733095425544363,0.3251021051816589,0.810121987150286,0.810121987150286,0.8047923767697792,0.6095664472156104
Q33E,How elections are administered,-0.15872116670139724,0.061253030074160775,-0.15872116670139724,0.061253030074160775,0.025745834291394237,0.8901560798150954,-0.19757251692353975,0.17120228665043855,0.21202971948747962,0.21202971948747962,0.953738656944745,0.453182523486455
Q33F,The criminal justice system,-0.058175364192306726,0.37862946332763897,-0.058175364192306726,0.37862946332763897,0.12320705373245043,0.23344366204610342,-0.1951771336240772,0.04640190336345663,0.6441562980825566,0.6441562980825566,0.8047923767697792,0.19801562954086038
Q33G,That all people are treated equally under th,-0.060840591331861364,0.46717361916977185,-0.060840591331861364,0.46717361916977185,-0.004259629601580283,0.9716820444120895,-0.06084891088974907,0.5757598462701162,0.7508147450942761,0.7508147450942761,0.9720082967867031,0.690529773557849
Q33H,Freedom of the press,-0.09491304489083915,0.32845530841149484,-0.09491304489083915,0.32845530841149484,0.04944977131697236,0.6431228245944958,-0.154659846083272,0.1865341204969757,0.6158537032715529,0.6158537032715529,0.8827962263594958,0.46633530124243927
Q33I,Division of power between the federal judici,0.005731530387593525,0.9359523080564566,0.005731530387593525,0.9359523080564566,0.08818344144130098,0.48919047619793365,-0.08864037292226987,0.399406889293237,0.9572239514213761,0.9572239514213761,0.8827962263594958,0.6161349814270166
Q33J,"Division of power between federal, state, an",-0.04035355373940699,0.7464377238330923,-0.04035355373940699,0.7464377238330923,0.24003332082632206,0.07295050251430096,-0.30188132308622445,0.005180295690109314,0.8969262304035419,0.8969262304035419,0.3918369877702525,0.0777044353516397
Q34A,Local voting procedures and laws make it eas,-0.16825235780684628,0.05517751073867491,-0.16825235780684628,0.05517751073867491,-0.08087998964728581,0.4251277164737484,-0.09392091510776805,0.4219642851570582,0.2069156652700309,0.2069156652700309,0.8827962263594958,0.6161349814270166
Q34D,I would feel comfortable openly expressing m,-0.09563253363331214,0.14169223527118927,-0.09563253363331214,0.14169223527118927,-0.0600346904963632,0.5368686751099343,-0.03827089982304428,0.6378087434248441,0.4250767058135678,0.4250767058135678,0.8827962263594958,0.7171699240739546
Q37,Do you think young people today are more lik,-0.06149427256841674,0.37716298319139036,-0.06149427256841674,0.37716298319139036,0.029857692180868447,0.6347749835273534,-0.0981987819132567,0.07847121113734416,0.6441562980825566,0.6441562980825566,0.8827962263594958,0.2577603751046034
Q44,"How often do you usually attend church, syna",0.018479199187358835,0.7453478029628872,0.018479199187358835,0.7453478029628872,0.2380002705724238,0.05339834933850914,-0.23508068423953551,0.017140353871720564,0.8969262304035419,0.8969262304035419,0.3918369877702525,0.1542631848454851
Q46,Would you describe yourself as a born-again ,-0.07506989781247522,0.2739019299292909,-0.07506989781247522,0.2739019299292909,0.09546712578195438,0.21202341131924216,-0.1833187500022142,0.028652082110331337,0.5869327069913377,0.5869327069913377,0.7950877924471581,0.19801562954086038
Q47,Are you currently registered to vote?,0.004613761295427254,0.8917902570350207,0.004613761295427254,0.8917902570350207,-0.02118755007241904,0.6574084382219461,0.0276783011248557,0.4259605769048696,0.9332688736413006,0.9332688736413006,0.8827962263594958,0.6161349814270166
Q48,Which of the following best describes your c,0.08771056993032092,0.30548066049952505,0.08771056993032092,0.30548066049952505,0.1280856724588054,0.20240066485368746,-0.04335300117932688,0.5222189946983845,0.5976795531512447,0.5976795531512447,0.7950877924471581,0.690529773557849
Q49,"What is your total ANNUAL household income, ",0.019077124149908524,0.825846439653213,0.019077124149908524,0.825846439653213,-0.12589703907074862,0.43883111056992485,0.15584910504566996,0.13376128166464038,0.8969262304035419,0.8969262304035419,0.8827962263594958,0.37620360468180103
Q51,Which of the following best describes your b,-0.10598051259532243,0.15740455042000479,-0.10598051259532243,0.15740455042000479,-0.16587749557516807,0.1353270651273754,0.06427299044223196,0.43627649177140887,0.44270029805626343,0.44270029805626343,0.6089717930731894,0.6161349814270166
ELEC,ELEC,0.2685947999003552,0.002012549677591984,0.2685947999003552,0.002012549677591984,0.005809528909906924,0.9720082967867031,0.2814865407699186,0.04964149115037454,0.022054002833337263,0.022054002833337263,0.9720082967867031,0.19801562954086038
LOWCONF10,LOWCONF10,0.051687826822019965,0.5582896920418253,0.051687826822019965,0.5582896920418253,-0.06956529662933174,0.5897955435979987,0.13034102833780184,0.252650085611611,0.8104205207058754,0.8104205207058754,0.8827962263594958,0.5413930405963093
CYN4,CYN4,0.09252825349469407,0.1961804474167489,0.09252825349469407,0.1961804474167489,-0.0247693105513737,0.8433882038929033,0.1260890003004142,0.3229759196342603,0.519301184338453,0.519301184338453,0.9256699798824548,0.6095664472156104
EDU,What is the highest level of school you have,-0.3983566025567346,0.0022248975157933225,-0.3983566025567346,0.0022248975157933225,-0.3576745619665701,0.06194334415266012,-0.043555232701933094,0.7863322788882652,0.022054002833337263,0.022054002833337263,0.3918369877702525,0.7863322788882652
AGE,How old are you?,0.12761354528707433,0.538807521834835,0.12761354528707433,0.538807521834835,-0.4591979386987515,0.03658237054129596,0.6205908073975921,0.0017731750917808794,0.810121987150286,0.810121987150286,0.3823653704994476,0.05045980625336299
MALE,MALE,0.0657247288181688,0.23576007574255578,0.0657247288181688,0.23576007574255578,0.19709630754967147,0.01603250511228668,-0.14101842749745977,0.04508012700023398,0.5540725453636338,0.5540725453636338,0.24048757668430018,0.19801562954086038
WHITE,WHITE,-0.054235667311385474,0.09599331513522143,-0.054235667311385474,0.09599331513522143,0.02295000662901004,0.5910257876405005,-0.08285355530858157,0.0365288465054821,0.30854994150606885,0.30854994150606885,0.8827962263594958,0.19801562954086038
INCOME,INCOME,0.019077124149908524,0.825846439653213,0.019077124149908524,0.825846439653213,-0.12589703907074862,0.43883111056992485,0.15584910504566996,0.13376128166464038,0.8969262304035419,0.8969262304035419,0.8827962263594958,0.37620360468180103
