scan,item,wording,values,b_net,p_net,N,q_net
YEAR 1,Q31,I trust that U.S. political leaders will be held acc,,-0.03273945792004432,0.7516849164855118,566,0.9307004092156331
YEAR 1,Q32A,"Every citizen should have the right to vote, even if",,0.02716919525676701,0.688232902399024,569,0.9005600744157441
YEAR 1,Q32B,People who have beliefs that are extreme or radical ,,0.4278743410003971,0.006399535679455793,569,0.07871428885730626
YEAR 1,Q32C,It is reasonable to assume that people who oversee e,,0.3314292140955298,0.00026293571461929647,568,0.010780364299391155
YEAR 1,Q32D,The news media should take more direction from the g,,0.10518033941390745,0.1845812847978591,569,0.5118784469876602
YEAR 1,Q32E,Laws should be created based on what is best for the,,0.06833426339132148,0.37924347451607926,569,0.6543244595137687
YEAR 1,Q32F,"Citizens, including those who hold radical views, sh",,-0.10187829617532768,0.1486088391891938,568,0.4810233479018641
YEAR 1,Q32G,More power should be given to presidents and the exe,,0.037596272103038994,0.4923721791908846,569,0.7570222255059851
YEAR 1,Q32H,The economic differences between the rich and poor i,,0.1471667492480135,0.014438775186441653,569,0.11457989169705352
YEAR 1,Q32I,Society should aim to reduce the economic difference,,0.04571988977581663,0.4451653362260616,569,0.730071151410741
YEAR 1,Q32J,Americans expect much more from government than it c,,-0.09629238691056244,0.19975744272689178,569,0.5118784469876602
YEAR 1,Q33A,The Supreme Court and judicial branch Scale Input 5 ,,-0.197803278354913,0.017753323282211058,568,0.12732625317694046
YEAR 1,Q33B,Congress and the legislative branch Scale Input 5 Ri,,-0.019067210760021186,0.7388682532893327,569,0.9273550525978359
YEAR 1,Q33C,The presidency and executive branch Scale Input 5 Ri,,0.07318013517124887,0.3665518047484618,568,0.6534184345516058
YEAR 1,Q33D,The people’s role in the democratic process Scale In,,-0.0923127739404088,0.2900757022549037,569,0.6161896052739235
YEAR 1,Q33E,How elections are administered Scale Input 5 Right F,,-0.30362679642503776,0.00011508854500369043,569,0.007077945517726961
YEAR 1,Q33F,The criminal justice system Scale Input 5 Right F40 ,,-0.1707155862938261,0.007816046278254028,567,0.08011447435210378
YEAR 1,Q33G,That all people are treated equally under the law Sc,,-0.1279171572798546,0.11373555973482878,567,0.42392344992072545
YEAR 1,Q33H,Freedom of the press Scale Input 5 Right F40 F40,,-0.24706269646792633,0.031485818372749046,567,0.19363778299240664
YEAR 1,Q33I,"Division of power between the federal judicial, legi",,-0.14163683413033556,0.13019380228739882,569,0.47099522592206045
YEAR 1,Q33J,"Division of power between federal, state, and local ",,-0.1860302358957237,0.014904701358966313,568,0.11457989169705352
YEAR 1,Q34A,Local voting procedures and laws make it easy for pe,,-0.25140204340847133,0.048867879961984294,569,0.2504478848051695
YEAR 1,Q34B,"If I had a concern, I know how to share it with my e",,-0.08978691741276937,0.3256286531935368,569,0.6161896052739235
YEAR 1,Q34C,People like me can effectively share their opinions ,,-0.09015890681519106,0.2526467058228295,567,0.5976066310809236
YEAR 1,Q34D,I would feel comfortable openly expressing my opinio,,-0.07136628751150743,0.3883389068658953,569,0.6543244595137687
YEAR 1,Q35A,Government decisions generally reflect what the majo,,-0.021454685985988445,0.7631450404513169,569,0.9307004092156331
YEAR 1,Q35B,Government is sensitive to the interests of people l,,-0.05654145093718067,0.5961005628641067,569,0.8083970769062683
YEAR 1,Q35C,Government includes many people who have similar bac,,-0.14286707940417953,0.008753399177406869,568,0.08076703847985515
YEAR 1,Q35D,Government decisions usually attempt to serve the be,,-0.09193710436048431,0.24700425104159607,569,0.5957161348650258
YEAR 1,Q35E,Our government’s laws and policies are careful to up,,-0.11968453007683039,0.1636014926845363,567,0.5007831749868031
YEAR 1,Q36A,government responsibility attitudes Scale Input 5 Ri,,-0.015335977297202937,0.7718003393495494,567,0.9307004092156331
YEAR 1,Q36B,political opinions attitudes Scale Input 5 Right F40,,-0.0642300752872044,0.45313156518578845,568,0.7312842627888888
YEAR 1,Q36C,political compromise attitudes Scale Input 5 Right F,,-0.0027797229241262565,0.9835748183130721,567,0.9998167173243468
YEAR 1,Q36D,political participation attitudes Scale Input 5 Righ,,0.007603168344064054,0.8844324719229492,566,0.9914505975828051
YEAR 1,Q36E,bridging differences attitudes Scale Input 5 Right F,,-0.0036375460016440913,0.9665470615860932,567,0.9998167173243468
YEAR 1,Q36F,cultural change attitudes Scale Input 5 Right F40 F4,,-0.03395280919427658,0.6610199811881786,565,0.8837549748494128
YEAR 1,Q36G,national diversity attitudes Scale Input 5 Right F40,,0.03751286394757185,0.715404539705921,564,0.90716245756524
YEAR 1,Q36H,leadership style attitudes Scale Input 5 Right F40 F,,0.050451040964909405,0.4890166346539047,568,0.7570222255059851
YEAR 1,Q36I,influence of wealth individuals and business attitud,,0.1281526080860383,0.08292905358301306,569,0.3481852987657772
YEAR 1,Q36J,facts and opinions attitudes Scale Input 5 Right F40,,0.010019723458934947,0.8066243123698973,568,0.9539883694374747
YEAR 1,Q36K,political violence attitudes Scale Input 5 Right F40,,-0.06008228393136036,0.5470492194819465,567,0.7784923490221775
YEAR 1,Q37,"Do you think young people today are more likely, les",,-0.10515979735923664,0.17099913292232305,569,0.5007831749868031
YEAR 1,Q38,Thinking about the perspectives you hear and read ab,,-0.18346044643571874,0.007731729532859144,566,0.08011447435210378
YEAR 1,Q39A,The Republican Party Scale Input 5 Right F40 F40,,0.06800696974419115,0.13505345374817887,569,0.47461642317217145
YEAR 1,Q39B,The Democratic Party Scale Input 5 Right F40 F40,,0.11776165887214497,0.284247422823525,569,0.6161896052739235
YEAR 1,Q40,Have you ever served in the U.S. armed forces? Scale,,0.09493914858564867,0.0877261033826203,566,0.3481852987657772
YEAR 1,Q44,"How often do you usually attend church, synagogue, m",,-0.12126230097166572,0.0877540183881227,569,0.3481852987657772
YEAR 1,Q45,What is your religious preference? - Selected Choice,,-0.11710062829295032,0.16406370225644254,567,0.5007831749868031
YEAR 1,Q46,Would you describe yourself as a born-again or Evang,,-0.1842830222783709,0.04090940389080349,569,0.22605813228052696
YEAR 1,Q47,Are you currently registered to vote? Scale Input 5 ,,0.04873261708293292,0.08047750392839695,567,0.3481852987657772
YEAR 1,Q48,Which of the following best describes your current e,,0.024426928538394704,0.7095130422288387,566,0.90716245756524
YEAR 1,Q49,"What is your total ANNUAL household income, before t",,0.0075978545153530756,0.9082876627003997,560,0.9914505975828051
YEAR 1,Q51,Which of the following best describes your backgroun,,-0.0006790449409263977,0.9940471834817644,564,0.9998167173243468
YEAR 1,ELEC,ELEC,,0.4099917953307519,3.100269921791787e-05,568,0.0038133320038038977
YEAR 1,EDU,EDU,,-0.3206898206772384,0.004868100593934014,570,0.0665307081170982
YEAR 1,AGE,AGE,,0.36458448970911866,0.018633110221015676,570,0.12732625317694046
YEAR 1,MALE,MALE,,-0.07864391919209805,0.1913174790677659,570,0.5118784469876602
YEAR 2,Q1,Please imagine a ladder with steps numbered from zer,0 Worst possible;1;2;3;4;5;6,-0.2932400788680197,9.087887802737042e-05,674,0.009905797704983375
YEAR 2,Q2,On which step do you think you will stand about five,0 Worst possible;1;2;3;4;5;6,-0.23630360830973884,0.011553649756729442,675,0.25819896784058527
YEAR 2,Q3,Which one of these phrases comes closest to your own,Living comfortably on presen,0.2593622807731052,0.05609395193808964,675,0.42339879493477806
YEAR 2,Q9A,Housing,Very dissatisfied;Dissatisfi,0.043561364955407585,0.5069463936825768,674,0.8174071439150129
YEAR 2,Q9B,Healthcare,Very dissatisfied;Dissatisfi,0.07325115699629141,0.3412138195828214,673,0.8174071439150129
YEAR 2,Q9C,Food,Very dissatisfied;Dissatisfi,-0.02002800856316793,0.788338005699269,674,0.8817939985400711
YEAR 2,Q9D,Schools,Very dissatisfied;Dissatisfi,0.059108895595079786,0.47430777817138625,673,0.8174071439150129
YEAR 2,Q9E,Childcare,Very dissatisfied;Dissatisfi,-0.040512898935624216,0.5696232971813162,672,0.8174071439150129
YEAR 2,Q10,"How often do you attend events in your community, su",Never;Rarely;Occasionally;Fr,-0.15157687794560354,0.02299555441852698,674,0.25819896784058527
YEAR 2,Q12A,Your physical or mental health,Yes;No,-0.08950426948267098,0.3259557077851859,674,0.8174071439150129
YEAR 2,Q12B,Your work or family obligations,Yes;No,0.03385645422614341,0.6175333906447773,675,0.8520397415225408
YEAR 2,Q12C,You fear judgment or retaliation from others,Yes;No,-0.10127138494082949,0.11852442645868883,675,0.5564120605518884
YEAR 2,Q12D,You are unsure how to get involved,Yes;No,-0.0153990482588197,0.773476365691019,673,0.8817939985400711
YEAR 2,Q12E,You don't believe it will make a difference,Yes;No,-0.036458647532094886,0.5323308808407727,675,0.8174071439150129
YEAR 2,Q12F,Not knowing enough about the issues,Yes;No,-0.037189230784648815,0.658109664015554,674,0.8667873080479327
YEAR 2,Q12G,You have not been invited or encouraged to participa,Yes;No,-0.02635863984342448,0.6672991698719953,675,0.8667873080479327
YEAR 2,Q12H,Feeling unwelcome or out of place when participating,Yes;No,-0.102673757540556,0.19099022859768255,675,0.6715462876499161
YEAR 2,Q12I,You have no desire to get involved,Yes;No,-0.1772927620324939,0.015403834891374552,674,0.25819896784058527
YEAR 2,Q14A,An American,Not at all strongly;Not very,0.09170786115758997,0.17460034906062913,675,0.6704702447317593
YEAR 2,Q14B,A member of your local community,Not at all strongly;Not very,-0.0030706492504900262,0.9644947231570796,675,0.9734252298529784
YEAR 2,Q18A,Religious or faith leaders,Not at all;Only a little;A f,-0.07872594366549437,0.4469305558795371,674,0.8174071439150129
YEAR 2,Q18B,Business leaders,Not at all;Only a little;A f,-0.0751058801668738,0.3701657162137053,673,0.8174071439150129
YEAR 2,Q18C,Elected officials,Not at all;Only a little;A f,-0.10220259211210925,0.3118212059123663,673,0.8174071439150129
YEAR 2,Q18D,Education officials,Not at all;Only a little;A f,-0.05756336777630245,0.6083703756317554,675,0.8501586018443762
YEAR 2,Q18E,"Family, friends, and/or neighbors",Not at all;Only a little;A f,-0.06737423588595103,0.4601719349404274,675,0.8174071439150129
YEAR 2,Q21,"On average, how much time PER DAY do you spend activ",None / I dont use social me,0.1495579514149765,0.14413476639527345,668,0.6042572898878771
YEAR 2,Q22,The experiences and beliefs of people like me are va,Strongly disagree;Disagree;N,-0.24687860734938094,0.0027235827823276293,672,0.1484352616368558
YEAR 2,Q23,How much power do ordinary citizens have to create c,Almost none;Very little;Some,-0.040423959348893486,0.6964076494330489,675,0.8667873080479327
YEAR 2,Q27,"If you had to choose, which one of the following wor",Rule of law;Equality;Free an,0.06688952411021751,0.2384506692473405,675,0.7728164444346367
YEAR 2,Q29,Whether or not you agree with current political lead,Very poorly;Moderately poorl,0.15127223703592205,0.40311525133099857,669,0.8174071439150129
YEAR 2,Q30A,Democracy is the best form of government.,Strongly disagree;Disagree;N,-0.047140159450648624,0.45208978493830826,675,0.8174071439150129
YEAR 2,Q30B,Most people in the U.S. are committed to having a st,Strongly disagree;Disagree;N,0.03629662168266537,0.713401106179369,674,0.8737159615005755
YEAR 2,Q30C,U.S. political leaders are committed to having a str,Strongly disagree;Disagree;N,-0.021213798736750143,0.8569762381405847,675,0.9248555441319181
YEAR 2,Q31,I trust that U.S. political leaders will be held acc,Strongly disagree;Disagree;N,0.14794399265118008,0.03769301935626033,674,0.34322419005450355
YEAR 2,Q32C,It is reasonable to assume that people who oversee e,Strongly disagree;Disagree;N,0.19613633163101896,0.021423426952044498,675,0.25819896784058527
YEAR 2,Q32H,The economic differences between the rich and poor i,Strongly disagree;Disagree;N,-0.03531665777196529,0.7841475564519067,675,0.8817939985400711
YEAR 2,Q33A,The Supreme Court and judicial branch,Very poorly;Moderately poorl,-0.04970877184088006,0.6997915881487897,674,0.8667873080479327
YEAR 2,Q33B,Congress and the legislative branch,Very poorly;Moderately poorl,-0.018352695975974734,0.735433180322862,674,0.8817939985400711
YEAR 2,Q33C,The presidency and executive branch,Very poorly;Moderately poorl,0.1908637159982205,0.17838199171762403,675,0.6704702447317593
YEAR 2,Q33D,The peoples role in the democratic process,Very poorly;Moderately poorl,0.10658084983525724,0.24106201019062065,675,0.7728164444346367
YEAR 2,Q33E,How elections are administered,Very poorly;Moderately poorl,-0.06794088750974682,0.509698754270649,673,0.8174071439150129
YEAR 2,Q33F,The criminal justice system,Very poorly;Moderately poorl,-0.0714103561337211,0.45447421937819904,674,0.8174071439150129
YEAR 2,Q33G,That all people are treated equally under the law,Very poorly;Moderately poorl,-0.008981851680056257,0.945922390903126,675,0.9671081065036078
YEAR 2,Q33H,Freedom of the press,Very poorly;Moderately poorl,-0.011927278805112712,0.9327519141507801,675,0.9671081065036078
YEAR 2,Q33I,"Division of power between the federal judicial, legi",Very poorly;Moderately poorl,0.06891894627697072,0.48640981705118097,674,0.8174071439150129
YEAR 2,Q33J,"Division of power between federal, state, and local ",Very poorly;Moderately poorl,-0.10914987465494702,0.4827436983319527,675,0.8174071439150129
YEAR 2,Q34A,Local voting procedures and laws make it easy for pe,Strongly disagree;Disagree;N,-0.05878592110772382,0.5578330960989871,675,0.8174071439150129
YEAR 2,Q34D,I would feel comfortable openly expressing my opinio,Strongly disagree;Disagree;N,-0.06985679564923941,0.29251346352789204,674,0.8174071439150129
YEAR 2,Q34B,Government is sensitive to the interests of people l,Strongly disagree;Disagree;N,-0.09285245274053676,0.2587164788425107,675,0.7833360053842685
YEAR 2,Q36A,Q36A,The government should be res,-0.10405355881639188,0.3547233150391111,669,0.8174071439150129
YEAR 2,Q36C,Q36C,Political leaders should com,0.20504110127638586,0.07047378999465387,668,0.44752026907392906
YEAR 2,Q36E,Q36E,I get along well with people,0.004373908349230737,0.949363003631982,671,0.9671081065036078
YEAR 2,Q36G,Q36G,The U.S. is stronger as a na,0.0052126624017780135,0.9431869669867978,668,0.9671081065036078
YEAR 2,Q36K,Q36K,It is never okay for people ,-0.029861048650045446,0.7608116693468531,673,0.8817939985400711
YEAR 2,Q36L,Q36L,Government officials must al,-0.052069059802759936,0.4062895761769037,670,0.8174071439150129
YEAR 2,Q36M,Q36M,I prefer election candidates,-0.047945331753821915,0.6732979873320689,671,0.8667873080479327
YEAR 2,Q36N,Q36N,Americans can collaborate ef,0.02992126903472106,0.6939938982210355,668,0.8667873080479327
YEAR 2,Q36O,Q36O,A persons political views a,-0.11418356050313602,0.1024100952561106,672,0.5564120605518884
YEAR 2,Q36P,Q36P,Most Americans share the sam,0.1269983515001532,0.05826588921120799,672,0.42339879493477806
YEAR 2,Q37,"Do you think young people today are more likely, les",More likely;Less likely;Just,-0.07147977982074946,0.19072271886730466,675,0.6715462876499161
YEAR 2,Q40,Have you ever served in the U.S. armed forces?,Yes?;No?,-0.1146619132447485,0.1440622154400584,675,0.6042572898878771
YEAR 2,Q44,"How often do you usually attend church, synagogue, m",Every week 				;Almost every,-0.051121513472571455,0.3852736197287533,673,0.8174071439150129
YEAR 2,Q45,What is you religious preference?,Missing;Protestant;Roman Cat,0.02158639936812831,0.7700067831781797,669,0.8817939985400711
YEAR 2,Q46,Would you describe yourself as a born-again or Evang,Yes;No;Dont know,-0.06923960644643176,0.29205481870575406,675,0.8174071439150129
YEAR 2,Q47,Are you currently registered to vote?,Yes;No;Dont know,-0.011148545276124838,0.7752355512100226,672,0.8817939985400711
YEAR 2,Q48,Which of the following best describes your current e,Employed full time;	 Employe,0.05822471046513889,0.5400640116300741,674,0.8174071439150129
YEAR 2,Q49,"What is your total ANNUAL household income, before t","Less than $12,000;$12,000 to",0.12929370718933078,0.1161593112540506,672,0.5564120605518884
YEAR 2,Q51,Which of the following best describes your backgroun,Born in another country and ,-0.08870306015431208,0.12251274727748002,671,0.5564120605518884
YEAR 2,Q52,Do you feel like your local community is being left ,Being left behind;Gets the a,-0.06123032946851352,0.5012380889335804,672,0.8174071439150129
YEAR 2,Q53A,Volunteered or actively participated in organization,"Yes;No, but have wanted to;N",0.1625937581734849,0.03778614936379856,673,0.34322419005450355
YEAR 2,Q53B,"Joined a protest, rally, or demonstration to support","Yes;No, but have wanted to;N",0.09981445759205033,0.2139055269847938,675,0.7286157012919537
YEAR 2,Q53C,"Participated in Facebook groups, WhatsApp chats, Dis","Yes;No, but have wanted to;N",-0.0774980692873817,0.490754792491566,674,0.8174071439150129
YEAR 2,Q53D,"Used online platforms (social media, forums, etc.) t","Yes;No, but have wanted to;N",-0.0963241630621153,0.32978359673806124,675,0.8174071439150129
YEAR 2,Q54A,People in my neighborhood are willing to help their ,Strongly disagree;Disagree;A,-0.05157924246987797,0.5699352563077155,673,0.8174071439150129
YEAR 2,Q54B,People in my neighborhood can be trusted.,Strongly disagree;Disagree;A,-0.021679449783741832,0.8019866494047259,672,0.8829954018698497
YEAR 2,Q55,How much power do ordinary people have to create cha,Almost none;Very little;Some,-0.05933551084121377,0.5309046140791781,675,0.8174071439150129
YEAR 2,Q56,People differ in what motivates them to engage in so,Feeling that an important ri,0.0250379497632348,0.6810933652902186,674,0.8667873080479327
YEAR 2,Q57A,The Supreme Court and judicial branch,Too much power;The right amo,-0.03562078948950195,0.6937302245509087,675,0.8667873080479327
YEAR 2,Q57B,Congress and the legislative branch,Too much power;The right amo,-0.23921359273321907,0.011078397113204104,675,0.25819896784058527
YEAR 2,Q57C,The presidency and executive branch,Too much power;The right amo,0.11730354951727497,0.35007327616157946,675,0.8174071439150129
YEAR 2,Q58,Do you think the rule of law is weaker now than it w,Weaker;About the same;Strong,0.013848445846513013,0.7928056133663025,672,0.8817939985400711
YEAR 2,Q59,"Now thinking about the city or town where you live
",Very poorly;Moderately poorl,-0.0116538944995951,0.9134781484408713,675,0.966690467767524
YEAR 2,Q60,Government officials in my city/town are sensitive t,Strongly disagree;Disagree;N,-0.13676595767177363,0.16359957366531294,675,0.6604575381303374
YEAR 2,Q61,"Which has a greater impact on your daily life, decis",Local government;National go,0.05288024214109755,0.5306165740720226,674,0.8174071439150129
YEAR 2,Q62,"Thinking back to 50 years ago, based on what you kno",Much weaker than it is today,0.05112538695768149,0.43473539750353773,675,0.8174071439150129
YEAR 2,Q63,"Looking ahead to the next 50 years, do you think U.S",Much weaker than it is today,0.08800334180734384,0.39182084711946297,673,0.8174071439150129
YEAR 2,Q65A,Which of these do you see as the more important citi,Speaking up against injustic,0.0614102999799669,0.6049205845415333,674,0.8501586018443762
YEAR 2,Q65B,Which of these do you see as the more important citi,Standing firmly by your prin,-0.07027785013442689,0.48615375646739434,675,0.8174071439150129
YEAR 2,Q66A,Your ballot not being counted.,Not at all;Only a little;A f,0.2782282635317777,0.022970214171297607,675,0.25819896784058527
YEAR 2,Q66B,People gathering near polling places in an attempt t,Not at all;Only a little;A f,0.05591162725274562,0.6573011694461963,673,0.8667873080479327
YEAR 2,Q66C,"Being personally confronted, followed, or recorded w",Not at all;Only a little;A f,0.12151002848738547,0.3128629248781977,675,0.8174071439150129
YEAR 2,Q66D,"Ballots not being properly handled, counted, or secu",Not at all;Only a little;A f,0.18106391273692896,0.023687978700971127,675,0.25819896784058527
YEAR 2,Q66E,Political leaders pressuring election officials to c,Not at all;Only a little;A f,0.027850969559868346,0.8543787205148057,674,0.9248555441319181
YEAR 2,Q66F,Not having the information you need to make a well-i,Not at all;Only a little;A f,-0.0007510797129634122,0.9950667326850003,675,0.9950667326850003
YEAR 2,Q67A,"Gerrymandering, or changing voting district boundari",Not at all;Only a little;A f,0.04131657644876296,0.5005831373680497,673,0.8174071439150129
YEAR 2,Q67B,"Expanding government involvement in healthcare, hous",Not at all;Only a little;A f,0.12381221481559918,0.5109701456487173,673,0.8174071439150129
YEAR 2,Q67C,People who are ineligible to vote casting ballots in,Not at all;Only a little;A f,0.14011138189121375,0.022770401767022774,673,0.25819896784058527
YEAR 2,Q67D,"Wealthy people or organizations making large, anonym",Not at all;Only a little;A f,0.04887143904285207,0.5510005905395332,674,0.8174071439150129
