outcome,wording,b_addr,p_addr,b_addr_net,p_addr_net,b_inten_net,p_inten_net,N,q_addr_net,q_addr,q_inten_net
Q33E,How elections are administered,-0.018834100209007963,0.6503862539945091,0.01569479111510446,0.7652542807096705,-0.09840883418416108,0.1931171757349652,628,0.959884630214311,0.8671816719926788,0.40091618223196746
Q33F,The criminal justice system,-0.07014246441312225,0.13810445343720001,-0.03957680284965083,0.42149273511195723,-0.11906389819615569,0.08567485690356565,627,0.959884630214311,0.5411389085532421,0.3063993834919006
Q33G,That all people are treated equally under the la,-0.01452202563835817,0.6904544543358526,0.01845591259642377,0.6423006164489182,-0.0918561447787157,0.16351567049686247,626,0.959884630214311,0.872325775287835,0.38153656449267914
Q33H,Freedom of the press,-0.02050597996989893,0.6917313215979339,-0.0010359504674507143,0.9834502286215722,-0.061198311185551434,0.4924440877885999,626,0.9834502286215722,0.872325775287835,0.6726065589307706
Q33I,"Division of power between the federal judicial, ",0.012849351593405067,0.8301268844507307,0.028713439305996964,0.6784996228406556,-0.03211556879882965,0.604814242506522,628,0.959884630214311,0.9092682915635645,0.7362955995731573
Q33J,"Division of power between federal, state, and lo",-0.045348900280241064,0.512386335149034,0.007792532304892203,0.9025934446311686,-0.16217726408454847,0.08840178977762031,627,0.9713715650448079,0.8201663785057272,0.3063993834919006
Q34A,Local voting procedures and laws make it easy fo,-0.007428974333682226,0.8925529542121662,0.03605903468212124,0.5249396025400572,-0.11401885386271657,0.14806446548804497,628,0.959884630214311,0.925610471034839,0.37689136669684176
Q34D,I would feel comfortable openly expressing my op,-0.05106146446165763,0.2936773673651922,-0.05670171894058984,0.279258707969691,-0.016832362149455504,0.7500139803759288,627,0.959884630214311,0.5801392879705201,0.8493965486285591
Q37,"Do you think young people today are more likely,",-0.014609695424175824,0.8055933856884533,0.02017105795531648,0.7232002605294198,-0.09646977574829595,0.05770879575381585,628,0.959884630214311,0.9092682915635645,0.2716362818214643
Q44,"How often do you usually attend church, synagogu",-0.04623791509177312,0.541895642941284,-0.004659338834022586,0.9540256442404363,-0.13283839971041683,0.10395693368475199,626,0.9713715650448079,0.8201663785057272,0.3063993834919006
Q46,Would you describe yourself as a born-again or E,-0.038622773221551554,0.4974197986272317,0.00510443241893665,0.9378439488301943,-0.13362205029133853,0.1314724607337698,628,0.9713715650448079,0.8201663785057272,0.35565600940315045
Q47,Are you currently registered to vote?,0.0072205188704149575,0.5249910918229697,-0.0042067397353823715,0.788476660533184,0.03318053534622832,0.25783470381821355,625,0.959884630214311,0.8201663785057272,0.4978877039248261
Q48,Which of the following best describes your curre,0.03869921818699911,0.42550947047065674,0.042945091054639124,0.4505645960014863,0.013057826465622889,0.8625032024339382,625,0.959884630214311,0.7686622692373154,0.894447765487047
Q49,"What is your total ANNUAL household income, befo",-0.008069122114429249,0.8215239264485706,-0.0238709039241201,0.5637481748122867,0.035064272922175226,0.5743714808620716,621,0.959884630214311,0.9092682915635645,0.7310182483699093
Q51,Which of the following best describes your backg,-0.04961915719278701,0.20292709070746578,-0.06925004863369835,0.11669168733110506,0.01914679820305648,0.7735575710724377,623,0.669129659470932,0.5411389085532421,0.8493965486285591
ELEC,ELEC,0.06067778451543138,0.3014297349541164,0.006704630134218724,0.9126107868001803,0.171773546811055,0.04605491960622831,627,0.9713715650448079,0.5801392879705201,0.2716362818214643
LOWCONF10,LOWCONF10,-0.0031650737609159874,0.94674162551097,-0.029892828350678947,0.5757081033813344,0.06536694450173934,0.3829934809418959,628,0.959884630214311,0.94674162551097,0.6308127921395933
SATISF,SATISF,0.07961385156380532,0.08670634030422153,0.12275413911663641,0.03571329281310123,-0.05892831652083985,0.42463938127146555,629,0.669129659470932,0.5411389085532421,0.6426974419243803
IDENTITY,IDENTITY,0.08215549011239554,0.10765304730393802,0.08796043868143066,0.11948743919123785,0.035788671383002055,0.6000715987845546,629,0.669129659470932,0.5411389085532421,0.7362955995731573
TRUSTLEAD,TRUSTLEAD,-0.10430287131372235,0.0912678455635016,-0.08846682929466994,0.11215731213133433,-0.10334143487177287,0.1629429164943158,629,0.669129659470932,0.5411389085532421,0.38153656449267914
DEMSUPP,DEMSUPP,0.12020606868660397,0.0481174110610547,0.1184012780091655,0.06806847333196456,0.07744028915567668,0.35243495328106905,626,0.669129659470932,0.5411389085532421,0.6308127921395933
EFFICACY,EFFICACY,-0.05709183446329329,0.27679035928352547,-0.04307246286716179,0.4932302881796232,-0.0699184106814281,0.4061021343241747,629,0.959884630214311,0.5801392879705201,0.6317144311709384
BARRIERS,BARRIERS,0.012926040981589561,0.7426959084320852,0.003931881463271348,0.9443624392956055,0.0303526969500458,0.5689054094704237,629,0.9713715650448079,0.9041515406999299,0.7310182483699093
STRONGPART,STRONGPART,0.003425376642754046,0.891731441970209,-0.01146671255053722,0.6996945842431687,0.039255851736710534,0.17051352427391386,629,0.959884630214311,0.925610471034839,0.38195029437356703
AGE,How old are you?,0.2188206847928887,0.1554879685478372,0.12231653348948357,0.3853922151458453,0.33532801764518483,0.030272737060130075,1245,0.959884630214311,0.5411389085532421,0.2716362818214643
MALE,MALE,-0.008258817851237136,0.782136157818745,-0.005462993438952204,0.8742616252747515,-0.012030166273187953,0.7174189219518816,629,0.9713715650448079,0.9092682915635645,0.8398354808742725
WHITE,WHITE,-0.06393281834120315,0.09422852195126377,-0.05229392526854819,0.16191826212040017,-0.06816469571241546,0.08947612120515203,629,0.7260709507397639,0.5411389085532421,0.3063993834919006
INCOME,INCOME,-0.008069122114429249,0.8215239264485706,-0.0238709039241201,0.5637481748122867,0.035064272922175226,0.5743714808620716,621,0.959884630214311,0.9092682915635645,0.7310182483699093
REGISTERED,REGISTERED,-0.0004947759955501981,0.9229891805107178,0.0034805645435628963,0.6190488807206324,-0.010222309441818676,0.3749793803796579,629,0.959884630214311,0.9397708019745491,0.6308127921395933
CHURCH,CHURCH,0.04623791509177312,0.541895642941284,0.004659338834022586,0.9540256442404363,0.13283839971041683,0.10395693368475199,626,0.9713715650448079,0.8201663785057272,0.3063993834919006
ATTENTION,ATTENTION,0.05706289410949493,0.11130525412199052,0.023748815419475076,0.35398855117779643,0.11676174589063346,0.04637742994680858,629,0.959884630214311,0.5411389085532421,0.2716362818214643
NSOURCES,NSOURCES,0.01125789936457118,0.12865806911797267,0.015808434347373092,0.09427847195806136,-0.004465735524497636,0.7691298748351111,629,0.669129659470932,0.5411389085532421,0.8493965486285591
EXCLUSIVE,EXCLUSIVE,-0.04653236238659273,0.20248761646158403,-0.07529342375538671,0.11879865698732878,0.0432919151449674,0.37208918142263836,629,0.669129659470932,0.5411389085532421,0.6308127921395933
FIRSTSRC,FIRSTSRC,0.03800256733676141,0.23409084783871817,0.024128507453293188,0.5222778718917159,0.057874485455852456,0.23894821459767174,629,0.959884630214311,0.5516475080017662,0.4778964291953435
