outcome,wording,b_addr_net,p_addr_net,b_inten_net,p_inten_net,b_inten_Y1,p_Y1,b_inten_Y2,p_Y2,q_addr_net,q_inten_net
Q34A,Local voting procedures and laws make it easy ,-0.005421412761866777,0.9154943406691401,-0.14566459681107016,0.10645323732062519,-0.25140204340847133,0.048867879961984294,-0.05878592110772382,0.5578330960989871,0.975936257856173,0.29939972996425834
Q34D,I would feel comfortable openly expressing my ,-0.04862442288886299,0.2935919369800088,-0.07666461706560333,0.14238282033362978,-0.07136628751150743,0.3883389068658953,-0.06985679564923941,0.29251346352789204,0.975936257856173,0.3480281547474538
Q37,Do you think young people today are more likel,0.02116849332442082,0.5768445868285501,-0.07909706185444504,0.14981385387989873,-0.10515979735923664,0.17099913292232305,-0.07147977982074946,0.19072271886730466,0.975936257856173,0.3480281547474538
Q44,"How often do you usually attend church, synago",0.015272690408804232,0.7821771542892094,-0.08352952605466231,0.10638856753229933,-0.12126230097166572,0.0877540183881227,-0.051121513472571455,0.3852736197287533,0.975936257856173,0.29939972996425834
Q46,Would you describe yourself as a born-again or,0.036480575567738295,0.27494356155953975,-0.12224282020631644,0.06304343836251262,-0.1842830222783709,0.04090940389080349,-0.06923960644643176,0.29205481870575406,0.975936257856173,0.23641289385942235
Q47,Are you currently registered to vote?,-0.002564409154100184,0.8823355113214014,0.014074509887751207,0.5614945792631976,0.04873261708293292,0.08047750392839695,-0.011148545276124838,0.7752355512100226,0.975936257856173,0.6945992866490637
Q48,Which of the following best describes your cur,0.07705632878581992,0.12468767585196068,0.03874305141398913,0.5340494391092566,0.024426928538394704,0.7095130422288387,0.05822471046513889,0.5400640116300741,0.9073656351185074,0.6945992866490637
Q49,"What is your total ANNUAL household income, be",-0.041187137311887695,0.2619305712311637,0.07539940704709273,0.17788105687092082,0.0075978545153530756,0.9082876627003997,0.12929370718933078,0.1161593112540506,0.975936257856173,0.3480281547474538
Q51,Which of the following best describes your bac,-0.055448713087078286,0.1307375734181473,-0.042271215826974635,0.46249842328169044,-0.0006790449409263977,0.9940471834817644,-0.08870306015431208,0.12251274727748002,0.9073656351185074,0.6713686789572926
ELEC,ELEC,0.017050553542552145,0.7889240330626498,0.28521229046179186,0.0005614490765098555,0.4099917953307519,3.100269921791787e-05,0.17003848836040492,0.07164772872564273,0.975936257856173,0.006316302110735875
LOWCONF10,LOWCONF10,-0.02431951291928851,0.7430131601871871,0.08583602058394987,0.28583687867602714,0.18642084820104268,0.00991676756229741,-0.004235121326930654,0.9740115931521621,0.975936257856173,0.47639479779337857
EDU,What is the highest level of school you have c,-0.19929888989115713,0.00453524440389752,-0.27583540515318306,0.008573026477356518,-0.3206898206772384,0.004868100593934014,-0.23053047137552157,0.0792245212920857,0.20408599817538842,0.06625379112402488
AGE,How old are you?,0.12231653348948357,0.3853922151458453,0.33532801764518483,0.030272737060130075,0.36458448970911866,0.018633110221015676,0.3166629795466561,0.05153997704374477,0.975936257856173,0.12384301524598668
MALE,MALE,-0.0014898245151523885,0.975936257856173,-0.014899167729806595,0.7905969932047787,-0.07864391919209805,0.1913174790677659,0.048584808375544755,0.4742180441007912,0.975936257856173,0.827368946377094
WHITE,WHITE,-0.040692601943892875,0.15263053210697372,-0.06816815666414447,0.013245854227998692,-0.05055137198983302,0.15046410883906433,-0.0916327798426041,0.004254637664158618,0.9073656351185074,0.06625379112402488
INCOME,INCOME,-0.041187137311887695,0.2619305712311637,0.07539940704709273,0.17788105687092082,0.0075978545153530756,0.9082876627003997,0.12929370718933078,0.1161593112540506,0.975936257856173,0.3480281547474538
STRONGPART,STRONGPART,-0.0022258181777624368,0.9119086095594916,0.04937914670548793,0.08837553262810126,0.04586468411986461,0.23479633888867815,0.05113230692368755,0.13881121701905777,0.975936257856173,0.2840642120188969
