var,label,b_corpus,p_corpus,b_out,p_out,b_pooled,p_pooled,n,q_pooled,same_sign
Q10,"How often do you attend events in your community, su",-0.04947608393459639,0.36646535198817987,-0.01895555332132673,0.7908691343355172,-0.03356661645353506,0.47902237188085417,775,0.6454196168499929,True
Q11,How often do you see people in your community showin,0.03188135333537241,0.6421212917832025,0.016933249474264167,0.717887294539175,0.029034847115332673,0.5627703086087047,766,0.6913160223074262,True
Q12A,Your physical or mental health,-0.010648402329284566,0.8035860637651691,-0.05638282669466612,0.5559016445619884,-0.017025277614780055,0.6622195058228071,776,0.7568222923689224,True
Q12B,Your work or family obligations,0.08224559902586068,0.2144964953155437,0.13829507573213307,0.008430240532317987,0.11081595309744505,0.02084611705376049,772,0.08085766614791948,True
Q12C,You fear judgment or retaliation from others,-0.0481199833328016,0.30523677573078534,0.014691534620140691,0.805308228205442,-0.02395758836401071,0.5338364264542194,775,0.6833106258614008,False
Q12D,You are unsure how to get involved,-0.0850194507563693,0.101733790138802,0.06610761575568655,0.2595131906829288,-0.038079125787384725,0.38605203741999505,774,0.5615302362472655,False
Q12E,You don't believe it will make a difference,0.03248799594638392,0.6813014913716885,-0.030368023159029877,0.6389051037138921,0.018731412175730662,0.7526662700911284,774,0.83052829803159,False
Q12F,Not knowing enough about the issues,-0.05333553903622487,0.2404278023987817,0.013497377395451288,0.8894416382918963,-0.0217061263313637,0.642843400681353,774,0.7524514431694348,False
Q12G,You have not been invited or encouraged to participa,0.05185449425717852,0.42943202949194714,-0.13978195404467345,4.1608456286008053e-05,0.003646411696149661,0.9494562351573487,774,0.9583718845652333,False
Q12H,Feeling unwelcome or out of place when participating,-0.04048984881245981,0.419542872541685,-0.06139425111743678,0.2062518476430959,-0.028875535418886048,0.4655668158589783,774,0.640780133655368,True
Q12I,You have no desire to get involved,-0.09094415745429821,0.09349650619412016,0.008411961415728614,0.8694614347438347,-0.04219551010403054,0.28492203918111814,773,0.4411460624347075,False
Q13,"In the past 12 months, have you volunteered or activ",0.03537474253636237,0.5679604330483972,0.14547258121325884,0.006511782541034029,0.06988092956706451,0.1690119264372073,776,0.30955255780235436,True
Q14A,An American,-0.046132514184077725,0.3676120047615936,-0.0499254805021067,0.32549575804625464,-0.05886446714519255,0.12510848595509363,775,0.25418866987701566,True
Q14B,A member of your local community,-0.10202515543530201,0.03624281097140759,0.04867593129942222,0.037808586949045264,-0.06216674846839449,0.13662774575292094,776,0.2690515608672905,False
Q15A,Not being able to afford basic necessities like food,-0.08984499229887376,0.04119991041146298,-0.12676885307020058,0.06127991668373916,-0.09252572588338948,0.010416398337958788,774,0.04851894037893423,True
Q15B,Not having access to necessary healthcare,-0.030043899809500507,0.5154140381827591,-0.03809555967725971,0.6267908484635832,-0.04467678038537138,0.26097806059042716,774,0.422004999142796,True
Q15C,"Feeling targeted or excluded due to race, gender, di",-0.022376806332730547,0.6112949255925838,-0.05643900127096822,0.11409350320009924,-0.03524945964459365,0.25909461593257577,775,0.422004999142796,True
Q16,How concerned are you about being affected by crime ,0.07013715556671764,0.20443728551162355,0.0651455409031798,0.23701935481902503,0.09346651395285602,0.029229949979183757,775,0.10348801474585714,True
Q18A,Religious or faith leaders,-0.012492320736641464,0.7809729314155591,0.11268107503831809,0.13162544425561926,0.03494061944226541,0.369415041380847,772,0.554508755259068,False
Q18B,Business leaders,0.06933977380111415,0.2937567784913683,0.10004632495818236,0.035981467755932556,0.07864449295088469,0.09639964316135981,774,0.22434826044825557,True
Q18C,Elected officials,0.015462301890183945,0.7927336354955715,0.028611336725511794,0.4612081482596143,0.025985933093511,0.5469149457206741,774,0.6863246377671205,True
Q18D,Education officials,0.01703186665872291,0.8062492818399225,-0.14731985903930367,4.209238304805754e-05,-0.031558911561615596,0.5125967082221055,774,0.6695140678819337,False
Q18E,"Family, friends, and/or neighbors",0.002541039647646603,0.9559820730120984,0.20979101601626593,0.0005191592161699732,0.07328973450946001,0.08448409949727335,775,0.20403707048398093,True
Q20A,X (formerly Twitter),0.1107689988058542,0.05667490963140718,0.03583790446341165,0.6721425537517263,0.07930851385048204,0.11379004308680926,772,0.23877254942805878,True
Q20B,Facebook,-0.07102872802417623,0.24859500035117355,-0.013608847863982233,0.7847892324129218,-0.06245144719491156,0.19902796704314374,775,0.33967439708696534,True
Q20C,Truth Social,0.016732786966223913,0.786566359587469,-0.08498415110263509,0.29576986124220095,-0.03455959269141601,0.39613986527016276,774,0.5697292444334925,False
Q20D,Instagram,0.0752855815487023,0.18866498837624623,-0.05756048515615905,0.11740070447166848,0.029119125285286616,0.5293472865928992,776,0.6833106258614008,False
Q20E,Parler,-0.051259704966657146,0.42035411478540063,0.11403610100823577,3.813522265075489e-05,0.07309761367718808,0.05652642389796317,772,0.15729091867259318,False
Q20F,TikTok,-0.143221428680521,0.0030162654183333317,-0.04245035473868701,0.5682543086356698,-0.1034223194259688,0.01993864660276379,772,0.07975458641105516,True
Q20G,Rumble,-0.11530972951502186,0.10339818434286399,-0.03293963410514841,0.6187464393522499,-0.08465698816966924,0.12256821628125569,775,0.2530440594193666,True
Q20H,Gab,0.09011675898329198,0.26341120223680503,0.05071229616769623,0.2318654851113081,0.06598276267794984,0.06196200412846794,775,0.16523201100924784,True
Q20I,Discord,-0.011921484920468444,0.7774536001753845,0.04221584667855563,0.012684106791155725,0.004388240456834686,0.8857892762410973,775,0.9161864929816572,False
Q20J,Twitch,-0.021824148135216916,0.6191111797224362,0.07618202475450872,0.012324983805316292,0.02083307244718451,0.5724960809733373,772,0.6913160223074262,False
Q20K,YouTube,-0.3083179808833132,0.0036274071916920867,0.04048114341120036,0.753060504278537,-0.19332620575778822,0.07360822126550287,774,0.1915942096321085,False
Q20L,Snapchat,0.02834120209330954,0.5679469555539685,0.056555400482803136,0.06461016471098809,0.03702295434118472,0.2637531244642475,770,0.422004999142796,True
Q20M,Reddit,-0.06890566009916291,0.1714665492405143,-0.05427308692690748,0.25737851275297907,-0.06867391762863952,0.05632949095061911,774,0.15729091867259318,True
Q20N,Bluesky,-0.09238126308579504,0.17584963924296193,0.06877636049087421,0.01669238656551496,-0.04707868067399254,0.47157912887959064,776,0.6421503031551873,False
Q21,"On average, how much time PER DAY do you spend activ",0.16779926617215732,1.4547631968885599e-05,0.07401143942608027,0.3986257210187083,0.14863090643480034,0.0024978153270127437,775,0.017762242325423956,True
Q22,The experiences and beliefs of people like me are va,-0.13330906852713437,0.009953726362413448,0.03938862697263144,0.35004472255135555,-0.06817253123351923,0.18668634851381483,775,0.32734044670915474,False
Q23,How much power do ordinary citizens have to create c,-0.029551810107341193,0.6702685190074329,-0.11916410528833023,0.11107885826656615,-0.04352304255335346,0.4118221151934509,773,0.5857025638306858,True
Q24A,Voting,-0.08455870070514628,0.21991762986496277,-0.11922068113831252,0.3414900758704039,-0.08843748885909243,0.17170493440599344,776,0.30955255780235436,True
Q24B,"Contacting elected officials by letter, email, or ph",-0.12426638107327848,0.024754945222620596,-0.1270605692446346,0.300012615584209,-0.10613142359265217,0.04728312689544672,774,0.14410095815755192,True
Q24C,Non-violent protests and demonstrations,0.014131622432856525,0.8128896263376588,0.029078632405588258,0.6910085320977593,0.02555561939380614,0.6541447412992417,775,0.7543290710477742,True
Q24D,Campaigning for political candidates or issues,0.006143857339979485,0.914503001596452,-0.05797246437222124,0.67535568888981,0.004700641777434258,0.9317341560729533,773,0.9540957758187042,False
Q24E,Donating money to candidates or causes,-0.07125775810975918,0.10060814560897989,-0.09764053331109072,0.4027953367261401,-0.07388410275485331,0.10801964976406052,774,0.2343477147423686,True
Q24F,Attending town hall meetings,-0.048524832739951826,0.19680960879143727,0.05727454198095502,0.42589167027247277,-0.008859095835658283,0.8422217024548436,774,0.8950644497876608,False
Q25,To what extent did you receive formal education abou,-0.04471418886768445,0.3820605185904571,-0.08014364537752006,0.12720970908404194,-0.05264747312255665,0.12788947883315413,773,0.25577895766630826,True
Q26,"Growing up, how much did your parents, relatives, or",-0.10761170845350249,0.0708888348422074,-0.024610334301530003,0.6552504500659496,-0.07583425589961794,0.1409121655121675,773,0.269205331127723,True
Q27,"If you had to choose, which one of the following wor",-0.003048090596052876,0.9618660526082597,0.06334177521019531,0.29147134625719917,0.002832929659233343,0.9508846042170673,767,0.9583718845652333,False
Q29,Whether or not you agree with current political lead,-0.09695366070947303,0.011117557077920054,-0.04631990822465744,0.7292523015072798,-0.07040095029954233,0.15061573774957085,770,0.28351197694036867,True
Q30A,Democracy is the best form of government.,0.015303565663797394,0.7338143754627572,0.022753268870418952,0.8255571894381082,0.0072619477897533265,0.8875556650759804,775,0.9161864929816572,True
Q30B,Most people in the U.S. are committed to having a st,-0.030275996868936984,0.4979082604980858,0.1220168778037064,0.35251592836526846,0.034371824663764566,0.5928252316316088,775,0.7091741088677189,False
Q30C,U.S. political leaders are committed to having a str,-0.1162494628099505,0.06563034209823104,-0.26496229515364206,0.0014892623226923228,-0.1583567522195995,0.00175468690529549,775,0.01403749524236392,True
Q31,I trust that U.S. political leaders will be held acc,-0.09693108688209817,0.07880886115879453,-0.2374597134205641,0.0001821654341574924,-0.1333458757094195,0.0005472510229352059,775,0.005388317764285105,True
Q32A,"Every citizen should have the right to vote, even if",-0.05008838207418398,0.26408841286398577,0.012554889915120496,0.7681329811496587,-0.019334955015937533,0.6366324344626821,775,0.7524514431694348,False
Q32B,People who have beliefs that are extreme or radical ,0.12346794350133039,0.044209064129317285,0.07756524607259563,0.3628908051740046,0.1316367641259848,0.0016574837133377014,774,0.01403749524236392,True
Q32C,It is reasonable to assume that people who oversee e,0.22874923041969702,1.6694060741956593e-05,0.18848876535520984,0.01263159990707641,0.21101821285514188,1.2918460172608824e-05,775,0.00020669536276174118,True
Q32D,The news media should take more direction from the g,-0.06437867114162275,0.3161813764549467,0.05406010010932146,0.591061931898853,0.002206652492648592,0.9711343310261604,775,0.9711343310261604,False
Q32E,Laws should be created based on what is best for the,0.05536160310565777,0.193887907541473,0.10678420366104481,0.020671487576063963,0.06732141681385012,0.029914504262474332,776,0.10348801474585714,True
Q32F,"Citizens, including those who hold radical views, sh",0.021701329361473502,0.67749674510902,-0.06201109253978322,0.006452721313182153,-0.012082258713390958,0.7711618726833182,775,0.8436642709697839,False
Q32G,More power should be given to presidents and the exe,-0.04317381958319155,0.44555407103785427,0.07604668322421487,0.012435814585830273,0.010565402156839283,0.8260272749040115,775,0.8949606941018183,False
Q32H,The economic differences between the rich and poor i,0.11765261013191541,0.053626830634298475,0.1285617169191777,0.002425972472222287,0.12021577150325019,0.002471803122623169,776,0.017762242325423956,True
Q32I,Society should aim to reduce the economic difference,0.06155207976136222,0.39136012819467136,0.05298575700625967,0.27067895152187116,0.06358888281721561,0.17681527677020448,775,0.31433826981369684,True
Q32J,Americans expect much more from government than it c,-0.11957691828347093,0.020662259362295793,-0.1863902259832661,0.02677325705356058,-0.12481721397717693,0.003254637282486305,776,0.020829678607912353,True
Q33A,The Supreme Court and judicial branch,-0.17518135979045946,0.0008582585077812152,-0.2171689956359819,0.24704047809467133,-0.1712781474035918,0.004168366234494307,776,0.025407184667393872,True
Q33B,Congress and the legislative branch,0.0005663700357960641,0.992250566581995,-0.13876093368758569,0.1670046645124179,-0.0550059726257115,0.2453086678133033,774,0.40778583740393276,False
Q33C,The presidency and executive branch,-0.030909595525305474,0.5341183713366582,-0.03471005272118339,0.33832194928717396,-0.023477405255191888,0.46130734050551037,775,0.640780133655368,True
Q33D,The people’s role in the democratic process,-0.09183606173385622,0.11008066250229895,-0.11745937450074653,0.3260147593435765,-0.09757417873178154,0.08013319177349433,776,0.20111859896092696,True
Q33E,How elections are administered,-0.15218948651523778,2.8400837367064146e-05,-0.22477245234630083,9.092221639643949e-05,-0.18757372016464097,1.1877547335152954e-08,776,3.800815147248972e-07,True
Q33F,The criminal justice system,-0.15204080811866505,7.802573785367519e-05,-0.20574330401721933,0.04006033397523366,-0.17286503262588657,5.707477469822429e-06,775,0.0001043653023053244,True
Q33G,That all people are treated equally under the law,-0.16562892816354952,0.0019581785311645478,-0.2025944395684937,1.0305970338173187e-06,-0.17485841203805783,5.669318872109856e-07,772,1.2094546927167694e-05,True
Q33H,Freedom of the press,-0.14539233192553352,0.023043096041279527,-0.1513129965118619,0.4685707609560603,-0.15406622801743333,0.03727780719250309,774,0.12234767488821528,True
Q33I,"Division of power between the federal judicial, legi",-0.12902415889055205,0.13698673756784815,-0.14470966501351087,0.3922013153182111,-0.12156159879612441,0.07484148813754238,776,0.1915942096321085,True
Q33J,"Division of power between federal, state, and local ",-0.13840062340425108,0.053576457519471446,-0.19093293800663744,0.061282116417499505,-0.14025215343284766,0.009180002725382268,775,0.04569059458253737,True
Q34A,Local voting procedures and laws make it easy for pe,-0.10541157912488373,0.11652495414456657,-0.06526179798412596,0.46460438559646344,-0.09423055631311768,0.1123214071355633,775,0.23877254942805878,True
Q34B,"If I had a concern, I know how to share it with my e",-0.12485891724789616,0.015406463267724196,-0.08421842696305268,0.33085755761721647,-0.09909127572367721,0.02200510657476312,774,0.08284275416381409,True
Q34C,People like me can effectively share their opinions ,-0.08680466938503509,0.05881761415459265,-0.09840198335052375,0.48970795342002005,-0.07913725930051706,0.10734801779675725,775,0.2343477147423686,True
Q34D,I would feel comfortable openly expressing my opinio,-0.06634141884938234,0.09628305642291493,-0.05246145043343911,0.6575353262579327,-0.028226370923621683,0.5694157910736597,775,0.6913160223074262,True
Q35A,Government decisions generally reflect what the majo,-0.12098201350942497,0.018003753188929234,-0.12670715914277875,0.2911919850539034,-0.12198244476204856,0.010613518207891862,776,0.04851894037893423,True
Q35B,Government is sensitive to the interests of people l,-0.21296392174942563,0.016355272232184203,-0.1237445360307486,0.17377978230888635,-0.16929523905076851,0.008524394277193715,775,0.04546343614503315,True
Q35C,Government includes many people who have similar bac,-0.10983080764527081,0.003029969481239969,-0.15779624665773,0.2747746127050332,-0.12873777434542288,0.005443055298693043,775,0.03166868537421407,True
Q35D,Government decisions usually attempt to serve the be,-0.21508039437955684,0.0010366839889076494,-0.10482549116048132,0.21920391636757242,-0.1728849385182611,0.003016540195511019,775,0.02032195500133739,True
Q35E,Our government’s laws and policies are careful to up,-0.2524729847863691,3.1872007675024315e-05,-0.19492966264250772,0.1738361228489832,-0.21668212499254805,0.00019792852248319955,773,0.0023031682616226857,True
Q36A,government responsibility attitudes,-0.10222689093973726,0.16503098551649442,-0.08222882027432782,0.28812112235020226,-0.09173541902125734,0.09137482782949394,771,0.21659218448472636,True
Q36B,political opinions attitudes,0.0006931850839018497,0.9873936772809201,-0.09497723917037626,0.15407419177921988,-0.015725893968120776,0.7141748799991682,774,0.8082336287691436,False
Q36C,political compromise attitudes,0.05360596049252574,0.4533927887169893,0.12321065271106901,0.11291924985248773,0.08147611177507505,0.10093858482061857,776,0.2266691027550733,True
Q36D,political participation attitudes,0.036340124455906925,0.5130979527283267,0.07431088591197507,0.41107517884851486,0.06032240935636901,0.14035740464239946,770,0.269205331127723,True
Q36E,bridging differences attitudes,0.044276057319978995,0.4749959157986552,0.033410153043954074,0.6768366847169249,0.043169008423312574,0.3768926695901478,771,0.554508755259068,True
Q36F,cultural change attitudes,-0.02871932122658857,0.568695177392206,0.024559199417664816,0.4516558258812683,-0.006987733562987944,0.8461156126898981,771,0.8950644497876608,False
Q36G,national diversity attitudes,0.039482581161298616,0.5354119429070212,0.009861013455229814,0.9160942805567324,0.024455396256776833,0.646637958973733,772,0.7524514431694348,True
Q36H,leadership style attitudes,0.07902318133858847,0.2622733066503419,0.06257255193422506,0.09442263431564754,0.08426763150540528,0.04278891578821183,772,0.13692453052227788,True
Q36I,influence of wealth individuals and business attitud,0.13031126110742497,0.08828179102805181,0.15430436111833618,0.04229720901048395,0.13949916145494387,0.009280902024577903,774,0.04569059458253737,True
Q36J,facts and opinions attitudes,-0.07967784831347909,0.2647168639790042,-0.0889374669660828,0.05310301274659161,-0.08009739328535825,0.08422458811655353,774,0.20403707048398093,True
Q36K,political violence attitudes,0.02574217193416293,0.6216105168756699,0.05778390101593531,0.3465896704483552,0.0309827325591295,0.4480646671887293,773,0.6302448065951357,True
Q37,"Do you think young people today are more likely, les",-0.06814571422462759,0.34823511064318424,-0.011822638692291033,0.7083012979630314,-0.031779774820457594,0.5117738399768872,776,0.6695140678819337,True
Q38,Thinking about the perspectives you hear and read ab,-0.09687806786351064,0.04439594874308922,-0.0017081036650201742,0.9843148532755576,-0.07264532276346528,0.0985096703452997,773,0.22516496078925646,True
Q40,Have you ever served in the U.S. armed forces?,0.08711648734324118,0.09035099287311939,0.004444715561717702,0.9212657450936883,0.04244103238338574,0.20888462626387294,771,0.35180568633915443,True
Q44,"How often do you usually attend church, synagogue, m",0.025471947709863857,0.5992736886603547,0.17549539029293387,0.007044528731775024,0.0847527649050176,0.05337823803198832,776,0.15528214700214785,True
Q46,Would you describe yourself as a born-again or Evang,-0.14026124158019654,0.0104036758270398,-0.057449179935113524,0.16189859566371423,-0.08821205038967962,0.007221899747022033,776,0.04019144207038349,True
Q47,Are you currently registered to vote?,0.03459297292074756,0.23131436991861443,0.05625268439343835,0.143487712739985,0.03127056850139308,0.3087914974987088,773,0.47053942475993726,True
cyn8,cyn8,0.23799828786739363,5.802165412576215e-06,0.23206926403952993,0.14537131611992962,0.2291665467734783,6.23271975542861e-05,776,0.0008864312541054022,True
q33e_rev,q33e_rev,0.15218948651523778,2.840083736706409e-05,0.22477245234630078,9.092221639643999e-05,0.18757372016464094,1.1877547335153037e-08,776,3.800815147248972e-07,True
elec_distrust,elec_distrust,0.22325966169498448,6.805128373335636e-08,0.2762385523452318,0.0016312593845307893,0.24346377226055183,8.526878398659943e-11,775,1.0914404350284727e-08,True
excl,excl,0.264257362128411,0.0022115484042581003,0.04161302959709994,0.5401170545268577,0.18102638421930922,0.017797915244766125,776,0.07593777171100213,True
efficacy,efficacy,-0.14881950022825077,0.006753576464946199,-0.06582428615547786,0.4959239429334843,-0.1147962514297009,0.029794199117589435,776,0.10348801474585714,True
disaffect,disaffect,0.16669281506535077,0.0016440452088331726,0.2724325883959491,5.241485241003046e-05,0.198218142227654,3.2404379424609673e-09,776,2.073880283175019e-07,True
econ_griev,econ_griev,0.1594404025110096,0.01725707744745473,0.18509124600169147,0.0004692916014808,0.15599985509684422,0.00018872424062457046,776,0.0023031682616226857,True
embed,embed,-0.043829283641143656,0.3422298490309329,-0.13948023496643613,0.002009644875283674,-0.09108786783173978,0.01942225200084534,776,0.07975458641105516,True
extreme,extreme,0.136493539380024,0.09617459280750672,-0.021764780494252692,0.8789142545912786,0.08423568349445054,0.28605564986000565,776,0.4411460624347075,False
straight,straight,-0.11618043207498403,0.11434147181387146,-0.046475023807799797,0.755231283938903,-0.07325680779332289,0.2798096074828418,776,0.4411460624347075,True
edu,edu,-0.2911391326163041,8.886247593194988e-06,-0.08242567310635643,7.150544884677985e-11,-0.23823107175878636,4.90800048702755e-07,792,1.2094546927167694e-05,True
age,age,-0.008957228590214448,0.9539913559380276,0.362512718830602,4.3001220242029777e-07,0.2127607833125153,0.05827786637485029,792,0.15871418927618802,False
income,income,0.06465123289132856,0.4811682981602615,0.08514934722451681,0.2800111401113986,0.028070890693560877,0.7198330756225185,778,0.8082336287691436,True
female,female,-0.028801242645392015,0.6728081026688701,0.04545601867576812,0.6432483908016646,-0.03810656665750484,0.37307107185426225,792,0.554508755259068,False
white,white,-0.10317011906342198,0.008087136623566504,-0.06965584230083953,0.0007735866950802843,-0.0701432661462307,0.0451669218546577,792,0.14100892676576063,True
attn,attn,0.12309660648465429,0.10628712321502769,0.20328350123925829,0.002235875411213491,0.1745504649499633,0.0007932306241206235,791,0.007252394277674272,True
