chunk_id,show_name,q,text,is_political_YN,ideology_label
5eea25f60b0fc686_9,Scott Horton Show - Just the Interviews,2023Q2,"The risk there, of course, is the same risk that's led to the eight year war, which is that the Houthis might not be able to might not be willing to agree to those terms to give these kind of foreign backed forces inside Yemen a significant. role in the new government. And so that may ultimately lead to the same thing that's led the war to drag on, which is just the lack of agreement. As of now, the Saudis very clearly appear to be leaning in what we think is the best direction, which is just end the foreign war on Yemen, let Yemenis figure it out according to the balance of power that exists in the country without foreign intervention.",,
ae808a42d8c63c5f_75,Pod Save America,2021Q2,"as Colorado is trying to do, they're considering legislation right now, that would actually prohibit police from making arrests for misdemeanors, for municipal infractions, for traffic violations. That would dramatically change these dynamics. So again, I think we can... That type of change, though, like these are... These are crimes in the state code, right? And so we need to go after this at the state level through state legislation. These are some crimes in the municipal code as well. And there are approaches to enforcement of those offenses as well that are determined municipally. So a lot of this is going to necessarily take action at every level of government. The federal government creating a roadmap for what...",,
b16a521053b6c9f1_97,The Young Turks,2026Q2,"It'd be what is a fiber alarm fire, okay? But do you know what Trump did? He fired almost everyone looking into white collar fraud as soon as he got in at the SEC, at the IRS and almost every organization. The very first people he fired, Doge and all that nonsense was a cover story for firing anyone who would look into white collar crime. I can't believe a con man would do something like that. I know, and we pointed it out at the time. So a legendary con man fires everyone who would catch con men inside the government. Gee, I wonder if it's a coincidence. Guys, understand how devastating and destructive this is, okay? Yeah, sure, there's a bunch of nasty little profit-seeking scamsters making money off insider trading, okay.",,
de4813f23b467a4b_34,Bannon`s War Room,2025Q1,"And now that Trump's back in power, they're going to have to dance to a new tune to, you know, to answer to some regulations and some some, you know, a new sheriff in town. Explain to me for a moment, when you say jackbooted thuggery, these men have been, many of them have been like four years in this process. Walk me through when you say jackbooted thuggery. What do you mean? Well, just the whole judicial process, you know, the things that President Trump went through, the things that you went through too, Mr. Bannon, you know, just the way that when you go into a D.C. courtroom, everybody in this city considers themselves a victim of January 6th.",,
47541c4cffd85b84_47,The Briefing with Jen Psaki,2023Q3,"Obviously, this is to be consistent with their position on Trump, but normally they don't care about consistency. What do you make of this? Yeah, clearly they're doing this because they've got a guy that's been indicted in four different jurisdictions. And so it's pretty obvious what they're doing. It's kind of sad. I do think that if you read the indictment, and I were to urge people to read the indictment and then decide what you would do if you were on the Senate Ethics Committee. The ethics committees don't have a stellar record of being aggressive about policing their own. And there was talk when I first came to the Senate to try to do an independent ethics board that wasn't made up of members.",,
3a1b8c53c03a6cdb_50,Bannon`s War Room,2026Q2,"If we kind of scoured news reports and we looked at what's happening in the boardrooms around America, we started to actually count these job losses and going back to January of last year, January of 2025. And so the team put together this great tool. at jobloss.ai, where we can actually track what's going on. It's based on what the companies are saying themselves when they announce job cuts due to AI. It's also based on media reports because sometimes people don't want to admit they're cutting jobs due to AI. And so oftentimes you have a whistleblower in the company that talks to a journalist, and now we know the real story. But that's kind of the methodology there. We try and be aware of some companies might.",,
222e1471729ae2dd_5,Mark Kaye Saves The Republic,2024Q3,"Donald Trump's really just one day after 24 hours after a second attempt on Donald Trump's life was thwarted by the Secret Service at his Trump International Golf Course in West Palm Beach, Florida. Just after that, Hillary Clinton, she went on Rachel Maddow and she decided to tell everybody, you know what? I am. Hang on. I can still hear myself. Hang on. We're having some technical difficulties here. I'm turning off lights. I'm turning on phones. She went on Rachel Maddow and she decided to tell everybody that the media.",,
1d6c37f1286be21e_20,Human Events Daily with Jack Posobiec,2024Q1,"Well, if we just if we just throw Trump off the ticket, if we get Trump and Trumpism out of the party, then we can go back to the way things used to be. And we won't have to worry about this nastiness anymore because all of this is going on because of Trump and Trump supporters and his, you know, his coterie of individuals that are, you know, they're supporting him online and other places. And it's it's I think they've actually missed a fund. a fundamental timeline here because MAGA and Trumpism and all of this did not begin this current phase of politics or this current phase of whatever you want to call political life right now because it's not just politics. This is actually the attempt to correct.",,
ae808a42d8c63c5f_40,Pod Save America,2021Q2,"In other words, the percentage of people who supported the minimum wage or supported social distancing or vaccines or whatever else did not change by nearly as much, by actually a fraction of what the horse race did. Now, that tells us two things. You can either take an optimistic or pessimistic view of that. The optimistic part is Americans are actually more united on issues than we think. The pessimistic view of that is that our political preference is more important than the issue we support. And that we've seen for a while now.",,
343f81cba54ce1ee_16,The Benny Show,2021Q4,"It's the best meat you can get delivered right to your doorstep. You slap that sucker on the grill. It sizzles. My favorite is the T-bone steak or the New York strip. I'm not sure, but it's just both so delicious. We eat them. with regularity inside of the Johnson household. We grill them. We even put up videos on Instagram, show you guys how much we love good ranchers and... Well, it works because Good Ranchers had to redo their entire website in order to handle the amount of traffic coming from this show. That's right. Good Ranchers dot com is back online, though, and better than ever with a special limited time offer. Go to Good Ranchers dot com backslash Benny right now to get 10 free bistro fillets and even better.",,
ce7d03010257886a_19,Liberty Lockdown,2023Q2,"I mean, you have to ask yourself, why? would they go so ferociously against literally one of the safest, if not the safest FDA approved drug in history? I mean, this is a drug, right, which eradicated two parasitic diseases that were disfiguring, that caused blindness all across a lot of low and middle income countries. The inventor, the discoverer won the Nobel Prize for its impacts on ridding the world of these two horrific diseases, right? And those diseases were eradicated by mass distribution campaigns in endemic areas. I mean, they gave it to children, women and adults and old people. And and here you have you sitting in covid and suddenly it's worse than fentanyl, whereas on public outlets like YouTube, thou shalt not speak its name.",,
39ffcfc0810277c0_23,Breaking Points with Krystal and Saagar,2021Q4,"Whether you have some—I think you do have some pool of voters that voted for Biden and maybe even voted for Hillary Clinton and are going to turn around and vote for Glenn Youngkin. That's also a very sort of suburban liberal thing to do. They love to, you know, signal that, oh, they're really open, they're bipartisan, etc. But I think the bigger story is the fact that Democrats haven't given people any reason to bother to go vote for them. I mean— Trump is not on the ballot here, okay? Glenn Youngkin is on the ballot. So if you want to make a case against someone, you got to make the case against Glenn Youngkin. And even better, maybe make the case for what you would do if you got elected.",,
7c46d39917d952ba_6,Brian Kilmeade Show,2023Q3,"And they immediately, while they do the poll, have to qualify and say it's an outlier and then bring up FiveThirtyEight, a separate polling company that only has Trump winning by two. Can you believe this? Well, here's what it said. It said Donald Trump gets 52 and Joe Biden. That is panic time for Martha Raddatz, who literally cried when Trump won in 2016. She's hosting this time, and she has to relay these numbers. For the GOP on the NBC poll. Republican Donald Trump leads DeSantis 54 to 15 over Haley's got seven. Pence got six. Scott's got four. On the New Hampshire polls, a little bit closer. Trump has got 39, Vivek 13, Haley 12, Christie 11. DeSantis dropping at 10 and Scott at six. So that's a little bit closer.",,
3a1b8c53c03a6cdb_14,Bannon`s War Room,2026Q2,"a minimal ask we simply want first and foremost people to be empowered and second for the government to be response responsive to the demands of their constituencies you are not alone in this resistance this is nationwide this is worldwide and as we push on the local level on the state level and eventually the federal level You're going to have to keep your backbones. You're going to have to stay salty. You're going to have to look to the future, not a future of doom in which AI has taken over everything. There are no jobs and we are simply pets. that are being fed by robots. We are not looking towards a future in which robots are kicking in your door and dragging you out to become biofuel for the next data center.",,
b79e9312cc8d9b9b_25,The Victor Davis Hanson Show,2021Q4,"And yet, if somebody from the outside would look at this from another century or another country, they'd say, you know, the emperor has no clothes. These youth don't know how to, they don't know how their car runs. They do not know what way the wind blows at what time of season. They're artificial creations and what they do. What they're branded as or what their certificate says they know is a social science pseudoscience. It's not knowledge. And as a result of that, they're very insecure. And they feel that, well, you can really see it in the careers of people like AOC. You know, I was an honor student and I have a... a master's in international relations, and I was a scholarship winner, and I was a science fair winner.",,
22da7d6496430201_81,Renegade Talk Radio,2025Q3,"I they're not in jail, which they probably should be. She was a I think she was a black lesbian, right? She was a diversity hire of one sort or another. She could be an awesome chief and be a black lesbian, but that can't be the priority. Exactly. Demographics and checking boxes. Exactly. And it's like, OK, I can at least understand like. If you want to do DEI at Subway sandwiches, whatever, you know, who cares? You get the people a job. But, like, you're talking about life and death. You're talking about whether planes land or crash. You're talking about whether fires are fought or just burn your entire landscape to the ground. You cannot be doing DEI when it comes to these life and death systems.",,
ae808a42d8c63c5f_49,Pod Save America,2021Q2,"And then it caused a lot of Democrats who were running. behind Biden to chase those same voters. So they put their money towards a fee. The second thing that happened was money came in way too late. Democrats were doing well on fundraising a lot of places. But after the death of Ruth Bader Ginsburg, as we know through the Crooked Media Get Met Your Die Trying Fund, money poured in like never before. And these candidates got this huge bunch of money at the very end. And there's not that much you can do with money. And then some candidates had more money they know what to do with. And so you have to spend it. You don't really get to keep it.",,
f73e9d6138b43814_28,Timcast News,2019Q3,"And the Washington Post can't even see it. You know why? Trump announced he was ending asylum for the most part. You would think talk then would increase. It's a major breaking story, but no, it stayed the same. Trump has flicked off the Democrats in the media, and they are too egotistical to realize that Trump is making massive changes on the other side with his right hand. He knows what they want. They want to play a game. They want to accuse Trump of being all of the worst things in the book. That's what they want. So Trump says, you know what? Give it to him. And I will get to pass the policy that I want to pass without obstruction. And here we can see. You know what, man?",,
19b89ecbc5cdf2f4_46,Stay Tuned with Preet,2019Q4,"And so a lot of people don't know how to practice hope. So they do fear. Well, I do think that. I think that what we've seen succeed in too many situations are the politics of fear and anger. And I think it's easier. frankly, to try to govern people through fear and anger than to inspire people through hope and aspiration and commitment to caring about one another. It's harder, you know, to be hopeful when we're dealing with very real problems. You also have to authentically feel it. Absolutely. Everyone feels, presumably, some amount of anger and frustration. And it's about conquering that and appealing to your better self. Absolutely. And some people can't do that. Absolutely.",,
dafee9c66dc89a1f_33,Renegade Talk Radio,2021Q3,"And it will be very interesting to look at who it is that was being ordered to be the psychologist for Britney Spears against her interest and against her willingness and against her request. The same pattern has a history, and it's important and relevant. As you know, you don't have to be a lawyer. You just have to know history. to know the risks and know the problems and know where the paths might be to uncovering and discovering the truth about this, both in terms of what has happened, but also in terms of what is likely to happen.",,
4d93007c93e70d68_41,The Necessary Conversation,2023Q1,"taking jackie gleason uh to see a dead alien body yeah i mean i don't know yeah the story of like eisenhower shaking hands with an alien in the fucking white house i don't know i mean these seem fantastical but it's we're through the fucking door now and i just don't know what what's um really in the room totally you know not yet but if this is true let's just operate under the assumption that what this guy is saying or what he said in 2020 is true um What do you think the Alien Federation is looking to do here on Earth? I mean, they can't. They're smarter than we are. Their tech is more advanced than ours. Their medicine. What could they possibly gain from us? Nothing. I don't know. I don't know. But I mean, here's the thing, too.",,
f73e9d6138b43814_1,Timcast News,2019Q3,"to put her front and center in this debate. The other night at a rally, Trump's base in this event were chanting, send her back. Many people are criticizing Trump for this, but there's criticism to go all around. So today, let's take a look at exactly what's going on with the Democrats. The response to Jake Tapper's thread showing the Democrats are angry and defeated. And how is the left responding? They're claiming Jake Tapper is fake news. Okay, they didn't explicitly say fake news, but it's the same game. Whenever press comes out that makes one side look bad, they'll be like, hey, that's not true. But sometimes it is. So let's take a look. We'll start with Jake Tapper's Twitter thread.",,
4d93007c93e70d68_11,The Necessary Conversation,2023Q1,"as far as like curriculum as far as curriculum and like what's being taught you know obviously there need to be some some fucking upgrades there but all kids in any kind we live in in a town that's affluent right so like all of the kids have ipads they no longer have school books so in a lot of ways like technologically they are becoming advanced but in terms of curriculum it's still same old shit like they're not learning about the new things that are happening in the world. But like technologically, they are more advanced these days. I understand that. By papers, I do know it's all online. I know you don't probably turn in a physical paper anymore. I have a good friend that is preparing for her certification EMT.",,
8fb9278557cb0795_41,The Nation Podcasts,2019Q3,"Certainly, the national leadership frames it much the way you do, that other groups are making this choice, other groups are going to line up with candidates, and this is a chance to have real impact. on the issues we care about, which are immigration reform and democracy reform and all good things like that. Now, I should say some local people do support this idea, but the vast majority that I've talked to, and even in surveys I've seen, they don't. What they say is that indivisible strength is pulling together people on the local level to work on issues that are local priorities, sometimes That involves elections. Sometimes it doesn't.",,
343f81cba54ce1ee_17,The Benny Show,2021Q4,"Subscribe and get twenty five dollars off each box of mouthwatering American meats for life. That's right. Twenty. $5 off for life and 10 free bistro fillets. That's a $100 value and free express shipping for my listeners. Go to goodranchers.com backslash Benny. All right, so who the hell is moving to Florida? None other than Nancy Pelosi. We saw this weekend that Nancy Pelosi is intending on moving to Florida. That's according to a couple reports, a few little birdies that we know on the other side of the state, and also a very public tweet from Marjorie Taylor Greene, who was on a flight with Nancy Pelosi headed down to Florida, down to the... east side of the state.",,
622a19d8f579241f_53,Renegade Talk Radio,2024Q4,"So you look at the video of Mitch McConnell yesterday saying there won't be recess appointments of Matt Gaetz and all that. Well, yes, there will. And the law says the party that controls the Senate, if they don't get approved or the other party holds up the appointments, the president can do his appointments. Yes, there will be. Senator Rick Scott snaps back at reporter, alleges Mitch McConnell will not allow Trump recess appointments. Well, I mean, Mitch McConnell looks like he has one foot into the Grim Reaper's abode. I mean, every time they roll him out now, he doesn't even know who he is. He doesn't just freeze up for like a minute or two like he did a year ago. He doesn't know where he's at.",,
7c46d39917d952ba_115,Brian Kilmeade Show,2023Q3,"We have a big hour coming your way. We'll be able to take your calls, get your emails, but also we're going to be covering the live event, Senator Fernandez, in so much sensational and disturbing indictment that read, once again, this guy is embroiled in a federal investigation. He got out of the first one because of a hung jury and reportedly a great attorney in Abbey Lowell. He's got him again, and I think he's going to say he's going to fight on, even though... You got AOC. You have the Governor Murphy. You have Senator Fetterman, of all people, saying he should resign. John Cooper coming up in 15 minutes, author of the upcoming book, Wimpy Week and Woke, How Truth Can Save America from Utopian Destruction. So he'll be on with us.",,
7c46d39917d952ba_42,Brian Kilmeade Show,2023Q3,"Senator John Fetterman is dressed so terribly that it turns out that he can't get on the Senate floor. He shouts his votes. So Senator Schumer said, OK, we'll change the entire dress code. You no longer, as a senator, have to wear a shirt and tie. Brian. It's not civilization. I said this earlier today. Civilization is a choice that we make every single day. You get up very early in the morning. I see you on TV and you've got a suit and tie on and you look great. It's because you respect yourself and you respect the audience. And this really is. I mean, this is a TV show. This is a radio show. It's not that serious. Fetterman is a senator.",,
19b89ecbc5cdf2f4_7,Stay Tuned with Preet,2019Q4,"You may have to work out or run or sing or whatever you can do to keep in balance. But I don't think we should try to protect ourselves if it means being less protective of the people who are depending on us, the clients we serve, the communities that we serve. When you talk about the death penalty to people who are either mixed about it or in favor of it in certain circumstances, what is it that you emphasize about it? Do you emphasize the inhumanity of it? Do you emphasize the unfairness of it, the disparities? And do you choose arguments that are emotional or that are logical? Well, I think it does depend on the audience. But my first threshold argument is that the death penalty isn't a question about...",,
39ffcfc0810277c0_97,Breaking Points with Krystal and Saagar,2021Q4,"They're not worried Pete might offer a more compelling platform or prove himself more able to govern. They just want to scare Democratic primary voters into staying the course because to inject even the tiniest illusion of Democratic choice would be far too dangerous. Gotta suck it up and vote Kamala, a call back to the uninspiring but ultimately winning message of the Joe Biden campaign. So to the extent... that the ruling elite decide you should have a choice here at all.",,
b79e9312cc8d9b9b_3,The Victor Davis Hanson Show,2021Q4,"He's written a ton of books. One of them is Bertrand de Juvenal, The Conservative Liberal and the Illusions of Modernity. Dan is, I think it's fair to say, the world's top scholar on Alexander Solzhenitsyn. One of his books is The Other Solzhenitsyn, Telling the Truth. about a misunderstood writer and thinker. And three years ago, Dan wrote a book that Encounter published very widely acclaimed, The Idol of Our Age, How the Religion of Humanity Subverts Christianity. And in the Encounter on Deck Circle, Dan's next book, it's out next in the spring 2022, The Statesman as Thinker, Portraits of Greatness, Courage, and Moderation. Dan, he writes occasionally for National Review, regularly for Law and Liberty, and of course, Real Clear.",,
0b62d126b11f4aba_2,Face the Nation with Margaret Brennan,2025Q1,"They got us a country where we fought many wars over the last 40 years, but haven't won a war about as long as I've been alive. They've got us a military with a major recruitment crisis. a procurement price crisis that's totally dysfunctional, where we buy airplanes for billions and billions of dollars, terrible cost overruns, the delivery dates are always delayed. So we need a big change. Now, admittedly, there are people who don't like that big change, but it is necessary, and it's explicitly what Donald J. Trump ran on, and I think part of the reason why the American people elected him their 47th president. So the main objective is changing all of that, that it's going to be Pete Higgseth alone?",,
ae808a42d8c63c5f_91,Pod Save America,2021Q2,"And so it is incumbent upon these Democratic politicians to explain what they want to do and to be bold advocates for their positions. Because if you hide from it, if you're scared from it, if you try to change the subject, you're going to allow your opponent to define you. And as Sam has pointed out, these police unions are incredibly powerful. There is a very disturbing, century-long... sort of pop culture and advantage that has gone to the police in these sort of discussions. And so taking it on and doing it forthrightly and transparently is going to give you your best chance of success.",,
e0a1fdc657804c4a_27,The Conversation with Dasha Burns,2025Q1,"So we I recently repealed 208 old executive orders. We got rid of them off the books. We have a similar effort to get rid of unnecessary rules and regulations through our legislature. This has been kind of work that I've been focused on since I've been governor. And we want to learn, of course, from the federal partners. And I would add that we at the state level, if the federal government makes compliance easier in certain areas, we could cut to. So we literally have employees that just sit there to comply with federal requirements. So I'd love to find a way where if they make the federal compliance requirements easier, we can then downsize the state people that are simply filing federal paperwork as their entire jobs.",,
53d70757301d4a07_48,The Brian Lehrer Show,2025Q4,"When they own the railroad and we're trying to get work done, by the way, 60% of the work on that Penn Access project that is designed to give people in the Bronx railroad service for the first time, 60% of the work, is actually fixing Amtrak's own damaged infrastructure, and they won't even let us get the work done. So Amtrak can actually allow us to get service started for those people in Co-op City and Parkchester and Morris Park in 2027 if they let us on the railroad now before the project is finished. That's what we're insisting on. Let us on the railroad. The people in the Bronx get service. even though Amtrak has screwed the project over six ways to Sunday. Okay? That's so you're putting it on Amtrak. I hear you.",,
7c46d39917d952ba_83,Brian Kilmeade Show,2023Q3,"I'm not convinced that he wouldn't want it, but he'll be enemy number one, too, in a little while. That's right. Anyone who takes it is going to be an enemy. That is not the Republican Party we have now. And so if you want to change that party, you've got to do it election by election. But you cannot shut down the government. The media will turn this into what it rightly is, frankly, Republican failure. I mean, the Democrats don't care about spending. The more spending, the better. They don't care where it goes. Just spend money. That's their mantra. But just look how Nancy Pelosi was able to herd even the squad for whatever she and the party wanted. That's the difference.",,
53d70757301d4a07_4,The Brian Lehrer Show,2025Q4,"We did MetroCard themed food with like Zabars and Carvel and all these New York food brands are doing MetroCard themed food. There's even a MetroCard, you know, yellow and blue sandwich, which is nostalgic to the, you know, back in the day, old blue and yellow MetroCard. But we're going to do things with... Look out for different cards that we're going to be doing that's part of the fun. More to follow on all that. Oh, that's interesting. My favorite was a Yankees and Mets logo Subway Series MetroCard that I used until it wore out. Yeah, well, you know, everybody's got their fave. I've got a Biggie Smalls MetroCard that I used for a while, too.",,
7c46d39917d952ba_29,Brian Kilmeade Show,2023Q3,"That would work. But if you actually don't continue a continued resolution, knowing that in that resolution has more additional border funds, has more money for overall security and defense. So you are getting something. They got to go negotiate with the Senate, but you are getting something and letting people know where you stand. But if you keep telling the country you can't govern, all you can do is fight with each other. You're not going to keep that job in the majority. Chronic migraine is 15 or more headache days a month, each lasting four hours or more. Botox on a botulinum toxin a prevents headaches and adults with chronic migraine before they start. It's not for those with 14 or fewer headache days a month.",,
0f75747b6a6de6bb_23,The Ben Ferguson Podcast,2025Q2,"We're losing some of the Democrats that are African-American because they're realizing that, hey, you guys are actually just keeping us living in hell and poverty. You want us addicted to your government cheese and we're not having it. We actually want to succeed. We actually want to do better in life. You look at Donald Trump back in 16, 17, before COVID hit, what happened? We had the lowest, the lowest unemployment rate in the history for African Americans, Asian Americans, Latin Americans, Indian American. It was incredible. And why did that happen? Because we had a president that said, I don't want you living in hell. I don't want you living below the poverty line. I don't want you dependent on the government for your livelihood.",,
7c46d39917d952ba_44,Brian Kilmeade Show,2023Q3,"This looks like a nice place to eat. Let me have a table. And I got, you know, I'll say I got an amuse-bouche of stink eye from many maitre d's. So here's John. The audio is not perfect, but here's John's interaction with maitre d's. And they see him with a hoodie sweatshirt on, long baggy shorts and sneakers. Go. Do you have space for two? We don't permit shorts. Do you have a dress code? Yes. Would my sweatshirt be okay? No. So nothing I'm wearing is okay? Yeah, it's athletic wear and shorts. So what was happening there? That woman wanted to kill me. Yeah. That's a very swanky spot on the Upper East Side called Daniel. It's a Michelin star place. It's very, very nice if you're ever in town. Got to make a reservation.",,
53d70757301d4a07_31,The Brian Lehrer Show,2025Q4,"14th Street is a success story because when they limited car travel on 14th Street, all of a sudden the speed of the 14th Street cross town went up dramatically. I don't think it's because people aren't paying. But you're right about something, which is while we have reduced fare evasion on the subway by over 30 percent in the last year, the bus must continue to have a fare evasion problem. People got out of the habit of paying.",,
39ffcfc0810277c0_91,Breaking Points with Krystal and Saagar,2021Q4,"Influential Democratic donors who back Pete Buttigieg in 2020 are privately chattering about prodding him to run for the White House in 2024 if President Joe Biden does not seek re-election. Insider has learned. Now, one thing that I love about this report is how public interest in either Pete or Kamala or what they might offer as a platform. Those trivial matters don't figure into this report at all. I mean, I actually truly appreciate that because it doesn't even try to offer a false pretense that what you or I might want is remotely a factor in these elite machinations.",,
7c46d39917d952ba_131,Brian Kilmeade Show,2023Q3,"The things that my friends ask me about, they're like, dude, how come drag queens are at my kids' school reading books? And just think about the fact that school prayer is illegal, drag is mandatory. Or one of my friends, they're trying to make him sign one of these DEI statements at his job. And he's going to lose his job if he doesn't sign this statement saying, I believe trans women are women and trans men are men. And he's calling me saying, what's going on with this? Kids, obviously, talk gender theory at age four. Sex education by fourth grade. It's absolutely insane the things that they're learning. I was just watching this week about the Catholics and the pro-lifers that are being harassed and targeted by government institutions.",,
b16a521053b6c9f1_1,The Young Turks,2026Q2,"So I thought it would be fun if we made $15 bills. But it turns out that's very illegal. So there goes my big idea for the commercial. Give it a try at mintmobile.com slash switch. Upbound payment of $45 for three months, $90 for six months, or $180 for 12-month plan required. $15 per month equivalent. Taxes and fees extra. Initial plan term only. Greater than 50 gigabytes may slow when network is busy. See terms. So upset. Let's see how Earth responds to that. All right, welcome to the Young Turks. Jane Kueger and Kasperian with you guys. Looks like the war's back on. Looks like Casper was right. We're gonna talk about that in a minute. Disastrous news coming out of the Gulf. So I need you to buckle up.",,
7c46d39917d952ba_135,Brian Kilmeade Show,2023Q3,"I've got a really wonderful life and a great country, and I want to give back. And one of the things I feel passionate about, because I am a Christian, the Christian church has just done the absolute worst job. And I cannot believe how silent the church has become. It used to be the fact— On abortion? On everything. I mean, the churches in America used to be— pro-American values because they understood that American values were rooted in Judeo-Christian ethics. And then the church just got silent on nearly everything. And I just want to also help wake those Christians up and say, hey, we have a job to do.",,
58c93a0ded4ae913_7,The Arena,2019Q4,"And then something did happen to her son, and her son died. She's there with a great crowd in the funeral procession. Our Lord appears also with a great crowd, two great crowds, touching each other. And even in the midst of that chaos, none of that size, busyness, all those different, none of that kept Jesus. from knowing this woman, from discerning from the depths of his compassion her need, and from stopping him to approach her. He just dialed in on her because she needed him. And out of his compassion, he went right up into the middle of the funeral procession, placed his hand upon the beer, and spoke to the man and said, young man, get up. He got up, he gave it back to his mother. That's it. The whole sum.",,
